player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Kyle Rau,Fribourg-Gottéron,forwarder,20,3,9,12,3,6,1,41,15627,0.15,0.45,0.6,2.05,781.35
Gian-Marco Wetter,SC Rapperswil-Jona Lakers,forwarder,25,3,9,12,3,6,-2,58,23544,0.12,0.36,0.48,2.32,941.76
Aleksandr Iakovenko,SC Bern,defender,30,3,9,12,4,8,0,61,32471,0.1,0.3,0.4,2.033,1082.37
Thierry Bader,ZSC Lions,forwarder,31,1,11,12,4,8,4,30,24361,0.032,0.355,0.387,0.968,785.84
Brendan Perlini,HC Lugano,forwarder,36,4,8,12,7,45,7,81,32170,0.111,0.222,0.333,2.25,893.61
Pierre-Edouard Bellemare,HC Ajoie,forwarder,38,1,11,12,10,20,-15,51,44344,0.026,0.289,0.316,1.342,1166.95
Ken Jäger,Lausanne HC,forwarder,47,7,5,12,9,41,-7,61,47277,0.149,0.106,0.255,1.298,1005.89
Joël Vermin,SC Bern,defender,47,5,7,12,5,12,-11,46,41659,0.106,0.149,0.255,0.979,886.36
Keijo Weibel,EHC Kloten,forwarder,51,5,7,12,0,0,-6,53,38846,0.098,0.137,0.235,1.039,761.69
Chris Egli,HC Davos,forwarder,54,3,9,12,7,19,-5,38,40195,0.056,0.167,0.222,0.704,744.35
Fabrice Herzog,EV Zug,forwarder,55,5,7,12,3,6,-7,68,51041,0.091,0.127,0.218,1.236,928.02
Miro Zryd,EHC Biel-Bienne,defender,55,0,12,12,13,26,-3,31,58481,0.0,0.218,0.218,0.564,1063.29
Ramon Untersander,SC Bern,defender,56,5,7,12,7,14,-17,67,65895,0.089,0.125,0.214,1.196,1176.7
Benoit Jecker,Fribourg-Gottéron,defender,58,2,10,12,3,6,10,45,50098,0.034,0.172,0.207,0.776,863.76
Aurélien Marti,Lausanne HC,defender,60,1,11,12,22,65,12,76,62204,0.017,0.183,0.2,1.267,1036.73
Matthew Verboon,Genève-Servette HC,forwarder,62,7,5,12,10,24,-4,58,48016,0.113,0.081,0.194,0.935,774.45
Marcus Sylvegaard,EHC Biel-Bienne,forwarder,11,2,9,11,2,4,-3,30,11757,0.182,0.818,1.0,2.727,1068.82
Erik Brannström,Lausanne HC,defender,13,3,8,11,4,12,13,28,17245,0.231,0.615,0.846,2.154,1326.54
Linus Omark,HC Lugano,forwarder,15,4,7,11,4,8,3,18,14729,0.267,0.467,0.733,1.2,981.93
Yannick-Lennart Albrecht,SCRJ Lakers,forwarder,24,4,7,11,4,10,7,29,21651,0.167,0.292,0.458,1.208,902.12
