player,team,position,games,goals,assists,points,penalties,pim,plus_minus,shots,toi,goals_per_game,assists_per_game,points_per_game,shots_per_game,toi_per_game
Kevin Etter,Fribourg-Gottéron,forwarder,20,1,1,2,2,4,0,8,9152,0.05,0.05,0.1,0.4,457.6
Leo Braillard,EHC Biel-Bienne,forwarder,20,1,1,2,1,2,-6,8,5672,0.05,0.05,0.1,0.4,283.6
Mischa Geisser,EV Zug,defender,21,0,2,2,3,29,-4,8,9316,0.0,0.095,0.095,0.381,443.62
Luca Hischier,Genève-Servette HC,forwarder,29,1,1,2,1,2,-1,14,12334,0.034,0.034,0.069,0.483,425.31
Kevin Bozon,HC Ajoie,forwarder,35,0,2,2,3,6,-9,39,29522,0.0,0.057,0.057,1.114,843.49
Dominik Schlumpf,EV Zug,defender,35,0,2,2,6,14,-9,24,31377,0.0,0.057,0.057,0.686,896.49
Nolan Cattin,EHC Biel-Bienne,forwarder,36,1,1,2,3,8,-6,22,15084,0.028,0.028,0.056,0.611,419.0
Emils Veckaktins,HC Ajoie,forwarder,36,0,2,2,4,8,-10,14,15827,0.0,0.056,0.056,0.389,439.64
Claude-C. Paschoud,SCL Tigers,defender,37,1,1,2,4,8,-6,16,27855,0.027,0.027,0.054,0.432,752.84
Jérémie Bärtschi,EHC Biel-Bienne,forwarder,42,0,2,2,5,10,-9,13,17922,0.0,0.048,0.048,0.31,426.71
Louis Füllemann,SC Bern,defender,46,1,1,2,6,12,-4,28,34809,0.022,0.022,0.043,0.609,756.72
Valentin Pilet,HC Ajoie,defender,46,0,2,2,15,80,-18,33,41608,0.0,0.043,0.043,0.717,904.52
Jannik Canova,SCL Tigers,forwarder,2,1,0,1,0,0,0,1,909,0.5,0.0,0.5,0.5,454.5
Luca Cunti,ZSC Lions,forwarder,2,0,1,1,0,0,1,2,1575,0.0,0.5,0.5,1.0,787.5
Léonardo Fuhrer,Lausanne HC,forwarder,3,1,0,1,0,0,0,3,1574,0.333,0.0,0.333,1.0,524.67
Florian Schenk,Lausanne HC,forwarder,3,0,1,1,1,2,3,3,1571,0.0,0.333,0.333,1.0,523.67
Nino Niedermann,ZSC Lions,defender,3,0,1,1,0,0,1,2,1204,0.0,0.333,0.333,0.667,401.33
Daniel Ljunggren,Fribourg-Gottéron,forwarder,4,1,0,1,0,0,-2,6,3778,0.25,0.0,0.25,1.5,944.5
Jakob Lilja,EV Zug,forwarder,4,1,0,1,1,2,-4,5,2930,0.25,0.0,0.25,1.25,732.5
Jakob Lee,HC Lugano,forwarder,5,0,1,1,1,2,-1,4,1967,0.0,0.2,0.2,0.8,393.4
Ryan Spooner,Lausanne HC,forwarder,6,0,1,1,1,2,-4,9,5362,0.0,0.167,0.167,1.5,893.67
Santiago Näf,EV Zug,forwarder,6,0,1,1,0,0,-1,6,2542,0.0,0.167,0.167,1.0,423.67
Kimi Körbler,EHC Kloten,forwarder,8,0,1,1,0,0,-1,5,3587,0.0,0.125,0.125,0.625,448.38
Kelyan Barry,Lausanne HC,forwarder,9,1,0,1,1,2,1,7,3105,0.111,0.0,0.111,0.778,345.0
Florian Schenk,SC Bern,forwarder,9,0,1,1,0,0,1,3,2380,0.0,0.111,0.111,0.333,264.44
Niklas Aebli,HC Davos,forwarder,9,0,1,1,0,0,1,2,2349,0.0,0.111,0.111,0.222,261.0
Victor Oejdemark,ZSC Lions,defender,10,0,1,1,0,0,1,2,2446,0.0,0.1,0.1,0.2,244.6
Jan Daron,EV Zug,forwarder,11,1,0,1,1,2,-2,9,4041,0.091,0.0,0.091,0.818,367.36
Harrison Luc Schreiber,ZSC Lions,forwarder,13,0,1,1,1,2,5,15,7282,0.0,0.077,0.077,1.154,560.15
Tim Minder,HC Davos,defender,21,0,1,1,0,0,2,12,12142,0.0,0.048,0.048,0.571,578.19
Fabian Maier,SC Rapperswil-Jona Lakers,defender,25,0,1,1,3,10,-4,15,24650,0.0,0.04,0.04,0.6,986.0
Leandro Hausheer,EHC Kloten,defender,27,0,1,1,4,8,-2,12,15059,0.0,0.037,0.037,0.444,557.74
Gael Haas,Lausanne HC,defender,28,0,1,1,1,2,-3,8,7764,0.0,0.036,0.036,0.286,277.29
Nic Balestra,EV Zug,defender,29,0,1,1,4,8,-4,17,22655,0.0,0.034,0.034,0.586,781.21
Levin Moser,SC Bern,forwarder,34,1,0,1,0,0,0,9,9454,0.029,0.0,0.029,0.265,278.06
Sandro Aeschlimann,HC Davos,goalkeeper,57,0,0,0,0,0,0,1085,139073,0.0,0.0,0.0,19.035,2439.88
Tim Wolf,EV Zug,goalkeeper,61,0,0,0,0,0,0,1055,57700,0.0,0.0,0.0,17.295,945.9
Davide Fadani,EHC Kloten,goalkeeper,50,0,0,0,0,0,0,785,75010,0.0,0.0,0.0,15.7,1500.2
Sandro Zurkirchen,SC Bern,goalkeeper,53,0,0,0,0,0,0,498,70908,0.0,0.0,0.0,9.396,1337.89
Connor Hughes,Lausanne HC,goalkeeper,59,0,0,0,0,0,0,221,92931,0.0,0.0,0.0,3.746,1575.1
Robin Meyer,SCL Tigers,goalkeeper,48,0,0,0,0,0,0,209,76699,0.0,0.0,0.0,4.354,1597.9
Luis Janett,EHC Biel-Bienne,goalkeeper,54,0,0,0,0,0,0,123,40690,0.0,0.0,0.0,2.278,753.52
Joshua Fahrni,SCL Tigers,forwarder,20,0,0,0,3,6,-1,13,8520,0.0,0.0,0.0,0.65,426.0
Bastien Pouilly,HC Ajoie,defender,32,0,0,0,2,4,-6,12,16327,0.0,0.0,0.0,0.375,510.22
Elvis Schläpfer,HC Ajoie,forwarder,20,0,0,0,3,8,-8,12,7464,0.0,0.0,0.0,0.6,373.2
Marlon Graf,SC Rapperswil-Jona Lakers,forwarder,25,0,0,0,5,16,-5,12,10459,0.0,0.0,0.0,0.48,418.36
Joel Henry,ZSC Lions,forwarder,22,0,0,0,0,0,-4,11,7846,0.0,0.0,0.0,0.5,356.64
Simon Moser,SC Bern,forwarder,11,0,0,0,1,2,-6,11,6172,0.0,0.0,0.0,1.0,561.09
Daniil Ustinkov,ZSC Lions,defender,18,0,0,0,1,2,1,9,7665,0.0,0.0,0.0,0.5,425.83
Taylor Beck,Genève-Servette HC,forwarder,6,0,0,0,1,2,-7,9,5196,0.0,0.0,0.0,1.5,866.0
Daniel Olsson,ZSC Lions,forwarder,21,0,0,0,1,2,-3,8,6282,0.0,0.0,0.0,0.381,299.14
Janis Embacher,SCRJ Lakers,forwarder,16,0,0,0,0,0,-4,8,5444,0.0,0.0,0.0,0.5,340.25
Michal Cajkovsky,HC Ambri-Piotta,defender,6,0,0,0,0,0,-12,8,4208,0.0,0.0,0.0,1.333,701.33
Robin Zumbühl,ZSC Lions,goalkeeper,59,0,0,0,0,0,0,7,39391,0.0,0.0,0.0,0.119,667.64
Cyril Keller,EHC Kloten,forwarder,9,0,0,0,0,0,-2,6,2992,0.0,0.0,0.0,0.667,332.44
Enea Togni,HC Lugano,defender,9,0,0,0,0,0,-2,6,3496,0.0,0.0,0.0,0.667,388.44
Julien Rod,Fribourg-Gottéron,forwarder,23,0,0,0,1,2,-1,6,5745,0.0,0.0,0.0,0.261,249.78
Matteo Wagner,SCL Tigers,forwarder,12,0,0,0,1,2,-2,6,4286,0.0,0.0,0.0,0.5,357.17
Rocco Pezzullo,HC Ambri-Piotta,defender,13,0,0,0,2,4,-8,6,8272,0.0,0.0,0.0,0.462,636.31
Reto Schmutz,HC Ajoie,forwarder,23,0,0,0,3,10,-9,5,5422,0.0,0.0,0.0,0.217,235.74
Timo Jenni,SCL Tigers,forwarder,12,0,0,0,1,2,-3,5,5471,0.0,0.0,0.0,0.417,455.92
Endo Meier,ZSC Lions,forwarder,10,0,0,0,0,0,-1,4,2499,0.0,0.0,0.0,0.4,249.9
Kevin Lindemann,SCRJ Lakers,forwarder,7,0,0,0,0,0,-1,4,2260,0.0,0.0,0.0,0.571,322.86
Tim Muggli,HC Ambri-Piotta,forwarder,7,0,0,0,0,0,-2,4,2356,0.0,0.0,0.0,0.571,336.57
Finn Bichsel,EHC Biel-Bienne,defender,13,0,0,0,0,0,0,3,3106,0.0,0.0,0.0,0.231,238.92
Jan Hornecker,SC Rapperswil-Jona Lakers,forwarder,6,0,0,0,1,2,0,3,1425,0.0,0.0,0.0,0.5,237.5
Cole Cormier,HC Lugano,forwarder,11,0,0,0,1,2,2,2,3693,0.0,0.0,0.0,0.182,335.73
Jamie Villard,EHC Biel-Bienne,forwarder,2,0,0,0,0,0,0,2,460,0.0,0.0,0.0,1.0,230.0
Jan Hornecker,SCRJ Lakers,forwarder,13,0,0,0,1,2,-2,2,2296,0.0,0.0,0.0,0.154,176.62
Kevin Zürcher,SC Bern,forwarder,3,0,0,0,0,0,0,2,154,0.0,0.0,0.0,0.667,51.33
Mike Aeschlimann,SCL Tigers,forwarder,4,0,0,0,0,0,0,2,720,0.0,0.0,0.0,0.5,180.0
Nick Meile,HC Lugano,defender,10,0,0,0,0,0,-1,2,2032,0.0,0.0,0.0,0.2,203.2
Robin Bisig,SCRJ Lakers,defender,6,0,0,0,0,0,1,2,1491,0.0,0.0,0.0,0.333,248.5
Victor Backman,EHC Kloten,forwarder,3,0,0,0,2,4,0,2,2280,0.0,0.0,0.0,0.667,760.0
Villiam Haag,ZSC Lions,forwarder,1,0,0,0,0,0,1,2,910,0.0,0.0,0.0,2.0,910.0
Andrin Flütsch,SC Rapperswil-Jona Lakers,defender,2,0,0,0,0,0,0,1,200,0.0,0.0,0.0,0.5,100.0
Antoine Guignard,Genève-Servette HC,forwarder,4,0,0,0,0,0,0,1,1833,0.0,0.0,0.0,0.25,458.25
Anton Besanidis,HC Lugano,forwarder,3,0,0,0,0,0,2,1,797,0.0,0.0,0.0,0.333,265.67
Benjamin Quinn,SCRJ Lakers,defender,6,0,0,0,0,0,1,1,1399,0.0,0.0,0.0,0.167,233.17
Jakob Stukel,HC Ajoie,forwarder,1,0,0,0,0,0,-2,1,947,0.0,0.0,0.0,1.0,947.0
Kimo Bont,SC Bern,forwarder,5,0,0,0,0,0,0,1,832,0.0,0.0,0.0,0.2,166.4
Loic Galley,Fribourg-Gottéron,goalkeeper,58,0,0,0,1,2,0,1,54825,0.0,0.0,0.0,0.017,945.26
Lucien Lehmann,EV Zug,forwarder,6,0,0,0,0,0,-2,1,1743,0.0,0.0,0.0,0.167,290.5
Ludvig Claesson,HC Davos,defender,2,0,0,0,0,0,1,1,1133,0.0,0.0,0.0,0.5,566.5
Marc Diethelm,SC Rapperswil-Jona Lakers,forwarder,6,0,0,0,0,0,-2,1,532,0.0,0.0,0.0,0.167,88.67
Marc Diethelm,SCRJ Lakers,forwarder,3,0,0,0,0,0,0,1,267,0.0,0.0,0.0,0.333,89.0
Nicolas Lars Wenger,Lausanne HC,forwarder,4,0,0,0,0,0,-1,1,1619,0.0,0.0,0.0,0.25,404.75
Robin Bisig,SC Rapperswil-Jona Lakers,defender,2,0,0,0,0,0,-1,1,1021,0.0,0.0,0.0,0.5,510.5
Simon Bär,SCL Tigers,defender,2,0,0,0,0,0,0,1,100,0.0,0.0,0.0,0.5,50.0
Sol Fueter,EV Zug,forwarder,5,0,0,0,0,0,-1,1,996,0.0,0.0,0.0,0.2,199.2
Stefan Rüegsegger,Lausanne HC,forwarder,1,0,0,0,0,0,-1,1,622,0.0,0.0,0.0,1.0,622.0
Aaron Till Theler,Fribourg-Gottéron,goalkeeper,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Adam Reideborn,SC Bern,goalkeeper,38,0,0,0,0,0,0,0,130976,0.0,0.0,0.0,0.0,3446.74
Alessio Beglieri,HC Lugano,goalkeeper,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Alessio Guignard,Fribourg-Gottéron,defender,1,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0
Alexandre Pugin,Genève-Servette HC,forwarder,3,0,0,0,0,0,0,0,507,0.0,0.0,0.0,0.0,169.0
Andri Henauer,SC Bern,goalkeeper,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Antoine Keller,HC Ajoie,goalkeeper,20,0,0,0,1,2,0,0,53058,0.0,0.0,0.0,0.0,2652.9
Aris Häfliger,HC Ambri-Piotta,defender,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Arthur Dandois,Fribourg-Gottéron,forwarder,3,0,0,0,0,0,0,0,576,0.0,0.0,0.0,0.0,192.0
Benjamin Conz,HC Ajoie,goalkeeper,29,0,0,0,0,0,0,0,30440,0.0,0.0,0.0,0.0,1049.66
Benjamin Quinn,SC Rapperswil-Jona Lakers,defender,2,0,0,0,0,0,0,0,68,0.0,0.0,0.0,0.0,34.0
Cedric Gerber,EHC Kloten,goalkeeper,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Christof Von Burg,SC Bern,goalkeeper,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cédric Aeschbach,EHC Biel-Bienne,defender,1,0,0,0,0,0,0,0,843,0.0,0.0,0.0,0.0,843.0
Damiano Ciaccio,HC Ajoie,goalkeeper,41,0,0,0,1,2,0,0,99696,0.0,0.0,0.0,0.0,2431.61
Daniels Serkins,SC Bern,forwarder,2,0,0,0,0,0,0,0,98,0.0,0.0,0.0,0.0,49.0
Danyil Shulha,Genève-Servette HC,forwarder,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
David Brodecky,HC Ajoie,goalkeeper,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Davide Togni,HC Lugano,forwarder,1,0,0,0,0,0,0,0,186,0.0,0.0,0.0,0.0,186.0
Derick Brassard,Genève-Servette HC,forwarder,1,0,0,0,0,0,0,0,330,0.0,0.0,0.0,0.0,330.0
Edoardo Berti,Genève-Servette HC,goalkeeper,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Elia Baumann,HC Davos,forwarder,1,0,0,0,0,0,0,0,503,0.0,0.0,0.0,0.0,503.0
Elijah Neuenschwander,Fribourg-Gottéron,goalkeeper,2,0,0,0,0,0,0,0,3672,0.0,0.0,0.0,0.0,1836.0
Ewan Huet,EHC Kloten,goalkeeper,21,0,0,0,0,0,0,0,28897,0.0,0.0,0.0,0.0,1376.05
Fabio Haller,HC Ajoie,goalkeeper,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fadri Riatsch,SC Bern,forwarder,1,0,0,0,0,0,1,0,289,0.0,0.0,0.0,0.0,289.0
Filippo Schmidt,ZSC Lions,defender,1,0,0,0,0,0,0,0,568,0.0,0.0,0.0,0.0,568.0
Flavio Andri,EV Zug,defender,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Flavio Sauser,EV Zug,defender,3,0,0,0,0,0,0,0,216,0.0,0.0,0.0,0.0,72.0
Florian Scheu,EHC Biel-Bienne,goalkeeper,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gian Keller,EHC Kloten,defender,1,0,0,0,0,0,-1,0,543,0.0,0.0,0.0,0.0,543.0
Gilles Senn,HC Ambri-Piotta,goalkeeper,57,0,0,0,2,4,0,0,88989,0.0,0.0,0.0,0.0,1561.21
Gregory Weber,SC Bern,forwarder,2,0,0,0,0,0,0,0,352,0.0,0.0,0.0,0.0,176.0
Harri Säteri,EHC Biel-Bienne,goalkeeper,45,0,0,0,1,2,0,0,155351,0.0,0.0,0.0,0.0,3452.24
Hugo Cerviño,HC Ajoie,goalkeeper,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ianfranco Vargas Sanchez,SC Rapperswil-Jona Lakers,goalkeeper,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ianfranco Vargas Sanchez,SCRJ Lakers,goalkeeper,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ivars Punnenovs,SC Rapperswil-Jona Lakers,goalkeeper,24,0,0,0,0,0,0,0,21426,0.0,0.0,0.0,0.0,892.75
Ivars Punnenovs,SCRJ Lakers,goalkeeper,39,0,0,0,1,2,0,0,54477,0.0,0.0,0.0,0.0,1396.85
Janis Embacher,SC Rapperswil-Jona Lakers,forwarder,4,0,0,0,0,0,1,0,1318,0.0,0.0,0.0,0.0,329.5
Jens Nater,EV Zug,defender,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jonathan Moser,EHC Biel-Bienne,defender,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Joren van Pottelberghe,HC Lugano,goalkeeper,58,0,0,0,0,0,0,0,60737,0.0,0.0,0.0,0.0,1047.19
Kevin Lindemann,SC Rapperswil-Jona Lakers,forwarder,1,0,0,0,0,0,0,0,225,0.0,0.0,0.0,0.0,225.0
Kevin Pasche,Lausanne HC,goalkeeper,60,0,0,0,1,2,0,0,123257,0.0,0.0,0.0,0.0,2054.28
Laurin Fuhrer,SCRJ Lakers,defender,1,0,0,0,0,0,0,0,129,0.0,0.0,0.0,0.0,129.0
Laurin Solèr,HC Davos,goalkeeper,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Leonardo Genoni,EV Zug,goalkeeper,54,0,0,0,0,0,0,0,156101,0.0,0.0,0.0,0.0,2890.76
Livio Christen,EHC Biel-Bienne,forwarder,1,0,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,27.0
Loic Fromaget,Genève-Servette HC,defender,2,0,0,0,0,0,1,0,107,0.0,0.0,0.0,0.0,53.5
Lorin Grüter,ZSC Lions,goalkeeper,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Louis Wehrli,EHC Biel-Bienne,goalkeeper,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Loïc Mukuna,Genève-Servette HC,defender,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Luca Boltshauser,SCL Tigers,goalkeeper,52,0,0,0,3,6,0,0,100665,0.0,0.0,0.0,0.0,1935.87
Luca Hollenstein,HC Davos,goalkeeper,49,0,0,0,0,0,0,0,71537,0.0,0.0,0.0,0.0,1459.94
Lucas Rötheli,EHC Biel-Bienne,goalkeeper,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ludovic Hauser,Fribourg-Gottéron,goalkeeper,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ludovic Waeber,EHC Kloten,goalkeeper,33,0,0,0,1,2,0,0,90864,0.0,0.0,0.0,0.0,2753.45
Manuel von Rohr,EHC Biel-Bienne,forwarder,2,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,4.5
Marc Bissig,HC Lugano,forwarder,2,0,0,0,0,0,0,0,675,0.0,0.0,0.0,0.0,337.5
Martin Grangier,Fribourg-Gottéron,defender,3,0,0,0,0,0,-1,0,93,0.0,0.0,0.0,0.0,31.0
Martin Neckar,SCL Tigers,goalkeeper,6,0,0,0,0,0,0,0,9669,0.0,0.0,0.0,0.0,1611.5
Mathieu Croce,EHC Kloten,goalkeeper,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Matia Nico Birchler,EV Zug,goalkeeper,5,0,0,0,0,0,0,0,3599,0.0,0.0,0.0,0.0,719.8
Melvin Nyffeler,SC Rapperswil-Jona Lakers,goalkeeper,25,0,0,0,0,0,0,0,68125,0.0,0.0,0.0,0.0,2725.0
Melvin Nyffeler,SCRJ Lakers,goalkeeper,40,0,0,0,0,0,0,0,90959,0.0,0.0,0.0,0.0,2273.98
Michael Loosli,Genève-Servette HC,forwarder,1,0,0,0,0,0,0,0,533,0.0,0.0,0.0,0.0,533.0
Nassim Jaafri-Hayani,HC Ambri-Piotta,goalkeeper,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nic Wülser,Fribourg-Gottéron,defender,5,0,0,0,0,0,0,0,37,0.0,0.0,0.0,0.0,7.4
Nicolò Ugazzi,SCRJ Lakers,defender,1,0,0,0,0,0,0,0,791,0.0,0.0,0.0,0.0,791.0
Niklas Schlegel,HC Lugano,goalkeeper,57,0,0,0,0,0,0,0,144701,0.0,0.0,0.0,0.0,2538.61
Noah Fuss,SC Bern,forwarder,4,0,0,0,0,0,-1,0,1531,0.0,0.0,0.0,0.0,382.75
Noah Patenaude,HC Ajoie,goalkeeper,15,0,0,0,0,0,0,0,21637,0.0,0.0,0.0,0.0,1442.47
Noel Ulrich,ZSC Lions,defender,1,0,0,0,0,0,0,0,611,0.0,0.0,0.0,0.0,611.0
Philip Wüthrich,HC Ambri-Piotta,goalkeeper,55,0,0,0,0,0,0,0,113132,0.0,0.0,0.0,0.0,2056.95
Reto Berra,Fribourg-Gottéron,goalkeeper,56,0,0,0,2,4,0,0,162960,0.0,0.0,0.0,0.0,2910.0
Robert Mayer,Genève-Servette HC,goalkeeper,56,0,0,0,1,2,0,0,35378,0.0,0.0,0.0,0.0,631.75
Roope Taponen,HC Davos,goalkeeper,1,0,0,0,0,0,0,0,3598,0.0,0.0,0.0,0.0,3598.0
Santo Simmchen,EV Zug,goalkeeper,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Simon Hrubec,ZSC Lions,goalkeeper,54,0,0,0,0,0,0,0,175048,0.0,0.0,0.0,0.0,3241.63
Simon Meier,EHC Kloten,forwarder,1,0,0,0,0,0,-2,0,590,0.0,0.0,0.0,0.0,590.0
Stéphane Charlin,Genève-Servette HC,goalkeeper,62,0,0,0,2,4,0,0,183366,0.0,0.0,0.0,0.0,2957.52
Tanner Richard,Genève-Servette HC,forwarder,1,0,0,0,0,0,0,0,965,0.0,0.0,0.0,0.0,965.0
Thibault Fatton,Lausanne HC,goalkeeper,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Thibault Martin,Lausanne HC,defender,10,0,0,0,0,0,-1,0,1464,0.0,0.0,0.0,0.0,146.4
Théo Vouardoux,Genève-Servette HC,defender,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Vincent Ryser,SC Bern,forwarder,1,0,0,0,0,0,-1,0,339,0.0,0.0,0.0,0.0,339.0
William Hedlund,HC Ambri-Piotta,forwarder,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
