season,round,round_index,team,elo
2025-26,GW 9,9,Ässät,1586.43
2025-26,GW 10,10,HIFK,1392.25
2025-26,GW 10,10,HPK,1492.64
2025-26,GW 10,10,Ilves,1474.62
2025-26,GW 10,10,JYP,1611.17
2025-26,GW 10,10,Jukurit,1486.42
2025-26,GW 10,10,K-Espoo,1471.1
2025-26,GW 10,10,KalPa,1522.61
2025-26,GW 10,10,KooKoo,1572.12
2025-26,GW 10,10,Kärpät,1469.0
2025-26,GW 10,10,Lukko,1521.99
2025-26,GW 10,10,Pelicans,1447.75
2025-26,GW 10,10,SaiPa,1484.81
2025-26,GW 10,10,Sport,1431.13
2025-26,GW 10,10,TPS,1477.1
2025-26,GW 10,10,Tappara,1565.91
2025-26,GW 10,10,Ässät,1579.38
2025-26,GW 11,11,HIFK,1409.33
2025-26,GW 11,11,HPK,1476.2
2025-26,GW 11,11,Ilves,1477.17
2025-26,GW 11,11,JYP,1576.73
2025-26,GW 11,11,Jukurit,1478.04
2025-26,GW 11,11,K-Espoo,1480.64
2025-26,GW 11,11,KalPa,1530.26
2025-26,GW 11,11,KooKoo,1564.24
2025-26,GW 11,11,Kärpät,1459.76
2025-26,GW 11,11,Lukko,1521.01
2025-26,GW 11,11,Pelicans,1467.16
2025-26,GW 11,11,SaiPa,1534.34
2025-26,GW 11,11,Sport,1413.03
2025-26,GW 11,11,TPS,1448.11
2025-26,GW 11,11,Tappara,1583.75
2025-26,GW 11,11,Ässät,1580.23
2025-26,GW 12,12,HIFK,1435.19
2025-26,GW 12,12,HPK,1459.59
2025-26,GW 12,12,Ilves,1494.36
2025-26,GW 12,12,JYP,1577.91
2025-26,GW 12,12,Jukurit,1466.69
2025-26,GW 12,12,K-Espoo,1452.2
2025-26,GW 12,12,KalPa,1522.57
2025-26,GW 12,12,KooKoo,1581.03
2025-26,GW 12,12,Kärpät,1448.74
2025-26,GW 12,12,Lukko,1530.09
2025-26,GW 12,12,Pelicans,1470.97
2025-26,GW 12,12,SaiPa,1545.69
2025-26,GW 12,12,Sport,1394.53
2025-26,GW 12,12,TPS,1458.34
2025-26,GW 12,12,Tappara,1603.92
2025-26,GW 12,12,Ässät,1558.17
2025-26,GW 13,13,HIFK,1441.84
2025-26,GW 13,13,HPK,1448.22
2025-26,GW 13,13,Ilves,1523.1
2025-26,GW 13,13,JYP,1571.0
2025-26,GW 13,13,Jukurit,1444.28
2025-26,GW 13,13,K-Espoo,1453.95
2025-26,GW 13,13,KalPa,1507.81
2025-26,GW 13,13,KooKoo,1563.54
2025-26,GW 13,13,Kärpät,1431.76
2025-26,GW 13,13,Lukko,1575.22
2025-26,GW 13,13,Pelicans,1492.59
2025-26,GW 13,13,SaiPa,1564.68
2025-26,GW 13,13,Sport,1394.37
2025-26,GW 13,13,TPS,1460.56
2025-26,GW 13,13,Tappara,1592.27
2025-26,GW 13,13,Ässät,1534.82
2025-26,GW 14,14,HIFK,1433.07
2025-26,GW 14,14,HPK,1423.48
2025-26,GW 14,14,Ilves,1545.78
2025-26,GW 14,14,JYP,1579.32
2025-26,GW 14,14,Jukurit,1452.33
2025-26,GW 14,14,K-Espoo,1420.63
2025-26,GW 14,14,KalPa,1486.13
2025-26,GW 14,14,KooKoo,1574.51
2025-26,GW 14,14,Kärpät,1447.84
2025-26,GW 14,14,Lukko,1567.64
2025-26,GW 14,14,Pelicans,1509.66
2025-26,GW 14,14,SaiPa,1589.2
2025-26,GW 14,14,Sport,1387.69
2025-26,GW 14,14,TPS,1479.5
2025-26,GW 14,14,Tappara,1585.46
2025-26,GW 14,14,Ässät,1517.76
2025-26,GW 15,15,HIFK,1433.07
2025-26,GW 15,15,HPK,1405.19
2025-26,GW 15,15,Ilves,1563.89
2025-26,GW 15,15,JYP,1592.19
2025-26,GW 15,15,Jukurit,1452.33
2025-26,GW 15,15,K-Espoo,1454.86
2025-26,GW 15,15,KalPa,1512.56
2025-26,GW 15,15,KooKoo,1589.19
2025-26,GW 15,15,Kärpät,1434.97
2025-26,GW 15,15,Lukko,1585.04
2025-26,GW 15,15,Pelicans,1483.89
2025-26,GW 15,15,SaiPa,1562.78
2025-26,GW 15,15,Sport,1375.57
2025-26,GW 15,15,TPS,1445.28
2025-26,GW 15,15,Tappara,1584.38
2025-26,GW 15,15,Ässät,1524.81
2025-26,GW 16,16,HIFK,1447.8
2025-26,GW 16,16,HPK,1412.73
2025-26,GW 16,16,Ilves,1578.93
2025-26,GW 16,16,JYP,1582.55
2025-26,GW 16,16,Jukurit,1451.52
2025-26,GW 16,16,K-Espoo,1446.44
2025-26,GW 16,16,KalPa,1521.4
2025-26,GW 16,16,KooKoo,1593.43
2025-26,GW 16,16,Kärpät,1445.51
2025-26,GW 16,16,Lukko,1585.04
2025-26,GW 16,16,Pelicans,1463.24
2025-26,GW 16,16,SaiPa,1558.54
2025-26,GW 16,16,Sport,1372.63
2025-26,GW 16,16,TPS,1436.69
2025-26,GW 16,16,Tappara,1592.81
2025-26,GW 16,16,Ässät,1510.76
2025-26,GW 17,17,HIFK,1465.94
2025-26,GW 17,17,HPK,1434.79
2025-26,GW 17,17,Ilves,1584.29
2025-26,GW 17,17,JYP,1548.95
2025-26,GW 17,17,Jukurit,1453.27
2025-26,GW 17,17,K-Espoo,1427.95
2025-26,GW 17,17,KalPa,1524.55
2025-26,GW 17,17,KooKoo,1600.35
2025-26,GW 17,17,Kärpät,1440.16
2025-26,GW 17,17,Lukko,1588.68
2025-26,GW 17,17,Pelicans,1447.94
2025-26,GW 17,17,SaiPa,1568.55
2025-26,GW 17,17,Sport,1353.56
2025-26,GW 17,17,TPS,1444.06
2025-26,GW 17,17,Tappara,1621.03
2025-26,GW 17,17,Ässät,1495.91
2025-26,GW 18,18,HIFK,1458.74
2025-26,GW 18,18,HPK,1446.02
2025-26,GW 18,18,Ilves,1579.05
2025-26,GW 18,18,JYP,1559.77
2025-26,GW 18,18,Jukurit,1438.41
2025-26,GW 18,18,K-Espoo,1446.79
2025-26,GW 18,18,KalPa,1539.72
2025-26,GW 18,18,KooKoo,1581.5
2025-26,GW 18,18,Kärpät,1448.03
2025-26,GW 18,18,Lukko,1554.85
2025-26,GW 18,18,Pelicans,1448.26
2025-26,GW 18,18,SaiPa,1589.87
2025-26,GW 18,18,Sport,1374.41
2025-26,GW 18,18,TPS,1447.72
2025-26,GW 18,18,Tappara,1591.71
2025-26,GW 18,18,Ässät,1495.14
2025-26,GW 19,19,HIFK,1481.48
2025-26,GW 19,19,HPK,1432.84
2025-26,GW 19,19,Ilves,1570.5
2025-26,GW 19,19,JYP,1564.98
2025-26,GW 19,19,Jukurit,1443.97
2025-26,GW 19,19,K-Espoo,1418.33
2025-26,GW 19,19,KalPa,1553.46
2025-26,GW 19,19,KooKoo,1590.27
2025-26,GW 19,19,Kärpät,1448.98
2025-26,GW 19,19,Lukko,1531.21
2025-26,GW 19,19,Pelicans,1465.34
2025-26,GW 19,19,SaiPa,1587.73
2025-26,GW 19,19,Sport,1347.28
2025-26,GW 19,19,TPS,1432.26
2025-26,GW 19,19,Tappara,1612.6
2025-26,GW 19,19,Ässät,1518.77
2025-26,GW 20,20,HIFK,1476.98
2025-26,GW 20,20,HPK,1425.73
2025-26,GW 20,20,Ilves,1585.27
2025-26,GW 20,20,JYP,1585.53
2025-26,GW 20,20,Jukurit,1429.52
2025-26,GW 20,20,K-Espoo,1427.48
2025-26,GW 20,20,KalPa,1519.87
2025-26,GW 20,20,KooKoo,1609.44
2025-26,GW 20,20,Kärpät,1427.41
2025-26,GW 20,20,Lukko,1543.25
2025-26,GW 20,20,Pelicans,1483.82
2025-26,GW 20,20,SaiPa,1562.46
2025-26,GW 20,20,Sport,1336.77
2025-26,GW 20,20,TPS,1430.67
2025-26,GW 20,20,Tappara,1624.77
2025-26,GW 20,20,Ässät,1531.03
2025-26,GW 21,21,HIFK,1485.87
2025-26,GW 21,21,HPK,1448.05
2025-26,GW 21,21,Ilves,1590.61
2025-26,GW 21,21,JYP,1569.98
2025-26,GW 21,21,Jukurit,1406.83
2025-26,GW 21,21,K-Espoo,1442.2
2025-26,GW 21,21,KalPa,1545.5
2025-26,GW 21,21,KooKoo,1615.25
2025-26,GW 21,21,Kärpät,1431.78
2025-26,GW 21,21,Lukko,1577.29
2025-26,GW 21,21,Pelicans,1474.83
2025-26,GW 21,21,SaiPa,1572.74
2025-26,GW 21,21,Sport,1326.49
2025-26,GW 21,21,TPS,1403.79
2025-26,GW 21,21,Tappara,1590.79
2025-26,GW 21,21,Ässät,1518.01
2025-26,GW 22,22,HIFK,1467.19
2025-26,GW 22,22,HPK,1423.37
2025-26,GW 22,22,Ilves,1584.83
2025-26,GW 22,22,JYP,1552.87
2025-26,GW 22,22,Jukurit,1396.29
2025-26,GW 22,22,K-Espoo,1460.46
2025-26,GW 22,22,KalPa,1548.43
2025-26,GW 22,22,KooKoo,1631.71
2025-26,GW 22,22,Kärpät,1437.36
2025-26,GW 22,22,Lukko,1575.63
2025-26,GW 22,22,Pelicans,1483.43
2025-26,GW 22,22,SaiPa,1600.28
2025-26,GW 22,22,Sport,1305.61
2025-26,GW 22,22,TPS,1432.9
2025-26,GW 22,22,Tappara,1617.78
2025-26,GW 22,22,Ässät,1481.87
2025-26,GW 23,23,HIFK,1450.56
2025-26,GW 23,23,HPK,1441.84
2025-26,GW 23,23,Ilves,1603.01
2025-26,GW 23,23,JYP,1553.78
2025-26,GW 23,23,Jukurit,1400.08
2025-26,GW 23,23,K-Espoo,1470.04
2025-26,GW 23,23,KalPa,1531.79
2025-26,GW 23,23,KooKoo,1619.57
2025-26,GW 23,23,Kärpät,1440.05
2025-26,GW 23,23,Lukko,1572.95
2025-26,GW 23,23,Pelicans,1477.99
2025-26,GW 23,23,SaiPa,1617.78
2025-26,GW 23,23,Sport,1289.05
2025-26,GW 23,23,TPS,1421.01
2025-26,GW 23,23,Tappara,1614.33
2025-26,GW 23,23,Ässät,1496.16
2025-26,GW 24,24,HIFK,1454.68
2025-26,GW 24,24,HPK,1453.32
2025-26,GW 24,24,Ilves,1575.61
2025-26,GW 24,24,JYP,1554.32
2025-26,GW 24,24,Jukurit,1405.28
2025-26,GW 24,24,K-Espoo,1462.25
2025-26,GW 24,24,KalPa,1522.45
2025-26,GW 24,24,KooKoo,1644.39
2025-26,GW 24,24,Kärpät,1433.7
2025-26,GW 24,24,Lukko,1561.74
2025-26,GW 24,24,Pelicans,1507.76
2025-26,GW 24,24,SaiPa,1611.22
2025-26,GW 24,24,Sport,1278.49
2025-26,GW 24,24,TPS,1416.1
2025-26,GW 24,24,Tappara,1638.26
2025-26,GW 24,24,Ässät,1480.44
2025-26,GW 25,25,HIFK,1484.44
2025-26,GW 25,25,HPK,1475.62
2025-26,GW 25,25,Ilves,1594.46
2025-26,GW 25,25,JYP,1556.5
2025-26,GW 25,25,Jukurit,1401.65
2025-26,GW 25,25,K-Espoo,1454.83
2025-26,GW 25,25,KalPa,1545.04
2025-26,GW 25,25,KooKoo,1599.77
2025-26,GW 25,25,Kärpät,1421.82
2025-26,GW 25,25,Lukko,1575.57
2025-26,GW 25,25,Pelicans,1485.18
2025-26,GW 25,25,SaiPa,1625.45
2025-26,GW 25,25,Sport,1268.04
2025-26,GW 25,25,TPS,1408.11
2025-26,GW 25,25,Tappara,1622.87
2025-26,GW 25,25,Ässät,1480.64
2025-26,GW 26,26,HIFK,1515.84
2025-26,GW 26,26,HPK,1452.68
2025-26,GW 26,26,Ilves,1597.19
2025-26,GW 26,26,JYP,1522.78
2025-26,GW 26,26,Jukurit,1387.83
2025-26,GW 26,26,K-Espoo,1488.14
2025-26,GW 26,26,KalPa,1543.34
2025-26,GW 26,26,KooKoo,1613.6
2025-26,GW 26,26,Kärpät,1406.24
2025-26,GW 26,26,Lukko,1570.59
2025-26,GW 26,26,Pelicans,1519.16
2025-26,GW 26,26,SaiPa,1619.36
2025-26,GW 26,26,Sport,1251.68
2025-26,GW 26,26,TPS,1391.97
2025-26,GW 26,26,Tappara,1631.87
2025-26,GW 26,26,Ässät,1487.75
2025-26,GW 27,27,HIFK,1532.07
2025-26,GW 27,27,HPK,1467.42
2025-26,GW 27,27,Ilves,1611.79
2025-26,GW 27,27,JYP,1531.78
2025-26,GW 27,27,Jukurit,1378.29
2025-26,GW 27,27,K-Espoo,1497.67
2025-26,GW 27,27,KalPa,1534.12
2025-26,GW 27,27,KooKoo,1617.96
2025-26,GW 27,27,Kärpät,1412.22
2025-26,GW 27,27,Lukko,1579.81
2025-26,GW 27,27,Pelicans,1502.93
2025-26,GW 27,27,SaiPa,1604.76
2025-26,GW 27,27,Sport,1245.7
2025-26,GW 27,27,TPS,1387.6
2025-26,GW 27,27,Tappara,1617.13
2025-26,GW 27,27,Ässät,1478.75
