game_slug,season,team,jersey,name,goals_against,is_captain,is_starter,minutes,save_pct,saves
02042026_ehc-red-bull-muenchen_gg_erc-ingolstadt_4364,2025-26,ERC Ingolstadt,1,Nico Pertuch,,False,False,,,
02042026_straubing-tigers_gg_eisbaeren-berlin_4361,2025-26,Straubing Tigers,40,Henrik Haukeland,1,False,True,67:24,95.00%,19
02042026_straubing-tigers_gg_eisbaeren-berlin_4361,2025-26,Straubing Tigers,1,Florian Bugl,,False,False,,,
02042026_straubing-tigers_gg_eisbaeren-berlin_4361,2025-26,Straubing Tigers,21,Sebastian Wieber,,False,False,,,
02042026_straubing-tigers_gg_eisbaeren-berlin_4361,2025-26,Eisbären Berlin,1,Jonas Stettmer,2,False,True,67:24,92.59%,25
02042026_straubing-tigers_gg_eisbaeren-berlin_4361,2025-26,Eisbären Berlin,73,Lennart Neiße,,False,False,,,
02042026_straubing-tigers_gg_eisbaeren-berlin_4361,2025-26,Eisbären Berlin,30,Jake Hildebrand,,False,False,,,
02102025_iserlohn-roosters_gg_loewen-frankfurt_3984,2025-26,Iserlohn Roosters,32,Hendrik Hane,4,False,True,58:35,82.61%,19
02102025_iserlohn-roosters_gg_loewen-frankfurt_3984,2025-26,Iserlohn Roosters,92,Andreas Jenike,,False,False,,,
02102025_iserlohn-roosters_gg_loewen-frankfurt_3984,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,3,False,True,60:00,90.32%,28
02102025_iserlohn-roosters_gg_loewen-frankfurt_3984,2025-26,Löwen Frankfurt,51,Cody Brenner,,False,False,,,
02102025_schwenninger-wild-wings_gg_dresdner-eisloewen_3985,2025-26,Schwenninger Wild Wings,60,Joacim Eriksson,1,False,True,60:00,94.44%,17
02102025_schwenninger-wild-wings_gg_dresdner-eisloewen_3985,2025-26,Schwenninger Wild Wings,1,Michael Bitzer,,False,False,,,
02102025_schwenninger-wild-wings_gg_dresdner-eisloewen_3985,2025-26,Schwenninger Wild Wings,40,Baran Bruno Cicek,,False,False,,,
02102025_schwenninger-wild-wings_gg_dresdner-eisloewen_3985,2025-26,Dresdner Eislöwen,35,Julius Hudacek,3,False,True,58:22,91.89%,34
02102025_schwenninger-wild-wings_gg_dresdner-eisloewen_3985,2025-26,Dresdner Eislöwen,62,Janick Schwendener,,False,False,,,
02112025_augsburger-panther_gg_schwenninger-wild-wings_4059,2025-26,Augsburger Panther,34,Michael Garteig,1,False,True,60:00,96.77%,30
02112025_augsburger-panther_gg_schwenninger-wild-wings_4059,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
02112025_augsburger-panther_gg_schwenninger-wild-wings_4059,2025-26,Schwenninger Wild Wings,60,Joacim Eriksson,4,False,True,32:57,81.82%,18
02112025_augsburger-panther_gg_schwenninger-wild-wings_4059,2025-26,Schwenninger Wild Wings,1,Michael Bitzer,1,False,False,27:03,94.12%,16
02112025_loewen-frankfurt_gg_erc-ingolstadt_4056,2025-26,Löwen Frankfurt,30,Mirko Pantkowski,7,False,True,47:25,80.00%,28
02112025_loewen-frankfurt_gg_erc-ingolstadt_4056,2025-26,Löwen Frankfurt,74,Rodion Schumacher,1,False,False,12:35,66.67%,2
02112025_loewen-frankfurt_gg_erc-ingolstadt_4056,2025-26,ERC Ingolstadt,36,Brett Brochu,0,False,True,60:00,100.00%,16
02112025_loewen-frankfurt_gg_erc-ingolstadt_4056,2025-26,ERC Ingolstadt,1,Nico Pertuch,,False,False,,,
02112025_straubing-tigers_gg_dresdner-eisloewen_4058,2025-26,Straubing Tigers,40,Henrik Haukeland,1,False,True,60:00,94.12%,16
02112025_straubing-tigers_gg_dresdner-eisloewen_4058,2025-26,Straubing Tigers,21,Sebastian Wieber,,False,False,,,
02112025_straubing-tigers_gg_dresdner-eisloewen_4058,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,6,False,True,60:00,86.36%,38
02112025_straubing-tigers_gg_dresdner-eisloewen_4058,2025-26,Dresdner Eislöwen,62,Janick Schwendener,,False,False,,,
03102025_augsburger-panther_gg_eisbaeren-berlin_3987,2025-26,Augsburger Panther,34,Michael Garteig,4,False,True,60:06,93.10%,54
03102025_augsburger-panther_gg_eisbaeren-berlin_3987,2025-26,Augsburger Panther,41,Peyton Jones,,False,False,,,
03102025_augsburger-panther_gg_eisbaeren-berlin_3987,2025-26,Eisbären Berlin,30,Jake Hildebrand,3,False,True,59:25,90.32%,28
03102025_augsburger-panther_gg_eisbaeren-berlin_3987,2025-26,Eisbären Berlin,1,Jonas Stettmer,,False,False,,,
04012026_dresdner-eisloewen_gg_koelner-haie_4187,2025-26,Dresdner Eislöwen,45,Juho Olkinuora,4,False,True,20:00,33.33%,2
04012026_dresdner-eisloewen_gg_koelner-haie_4187,2025-26,Dresdner Eislöwen,55,Paul Stocker,4,False,False,40:00,81.82%,18
04012026_dresdner-eisloewen_gg_koelner-haie_4187,2025-26,Kölner Haie,90,Felix Brückmann,1,False,True,60:00,96.43%,27
04012026_dresdner-eisloewen_gg_koelner-haie_4187,2025-26,Kölner Haie,45,Tobias Ancicka,,False,False,,,
04012026_eisbaeren-berlin_gg_augsburger-panther_4189,2025-26,Eisbären Berlin,1,Jonas Stettmer,3,False,True,60:00,89.66%,26
04012026_eisbaeren-berlin_gg_augsburger-panther_4189,2025-26,Eisbären Berlin,30,Jake Hildebrand,,False,False,,,
04012026_eisbaeren-berlin_gg_augsburger-panther_4189,2025-26,Augsburger Panther,41,Peyton Jones,5,False,True,59:14,82.14%,23
04012026_eisbaeren-berlin_gg_augsburger-panther_4189,2025-26,Augsburger Panther,34,Michael Garteig,,False,False,,,
