game_id,season_id,date,home_team,away_team,score,round,venue,spectators,away_pim,away_pp_pct,away_pp_time,away_save_pct,away_saves,away_score,away_shots,away_team_short,home_pim,home_pp_pct,home_pp_time,home_save_pct,home_saves,home_score,home_shots,home_team_short,periods,periods_detail
1004356,18263,2025-09-20 15:15,Timrå IK,Färjestad BK,1-0,,SCA Arena,5197,12,"0,00%",06:00,"0,00",28,0,28,FBK,8,"20,00%",08:11,"3,45",28,1,29,TIK,"(0-0, 0-0, 1-0)","0-0, 0-0, 1-0"
1004357,18263,2025-09-20 18:00,Brynäs IF,Örebro HK,4-3,,Monitor ERP Arena,7909,6,"60,00%",06:41,"15,00",29,3,20,ÖHK,12,"100,00%",02:48,"12,12",17,4,33,BIF,"(2-1, 1-1, 0-1, 0-0, 1-0)","2-1, 1-1, 0-1, 0-0, 1-0"
1004358,18263,2025-09-20 18:00,Frölunda HC,Luleå HF,4-1,,Scandinavium,11455,6,"0,00%",02:00,"5,56",11,1,18,LHF,6,"50,00%",02:18,"26,67",17,4,15,FRÖ,"(2-1, 1-0, 1-0)","2-1, 1-0, 1-0"
1004359,18263,2025-09-20 18:00,MIF,HV71,3-2,,Malmö Arena,7779,8,"25,00%",06:07,"8,00",22,2,25,HV71,8,"0,00%",06:14,"12,00",23,3,25,MIF,"(0-0, 1-2, 2-0)","0-0, 1-2, 2-0"
1004360,18263,2025-09-20 18:00,Växjö Lakers HC,Djurgårdens IF,4-0,,Vida Arena,5308,14,"0,00%",04:00,"0,00",19,0,16,DIF,8,"40,00%",07:17,"17,39",16,4,23,VÄX,"(2-0, 2-0, 0-0)","2-0, 2-0, 0-0"
1004321,18263,2025-09-23 19:00,Djurgårdens IF,Frölunda HC,2-11,,Avicii Arena,13950,4,"50,00%",04:24,"28,21",19,11,39,FRÖ,10,"0,00%",02:00,"9,52",28,2,21,DIF,"(0-2, 2-3, 0-6)","0-2, 2-3, 0-6"
1004364,18263,2025-09-25 19:00,Färjestad BK,Frölunda HC,4-3,,Löfbergs Arena,7649,12,"0,00%",02:00,"12,50",16,3,24,FRÖ,6,"0,00%",08:00,"20,00",21,4,20,FBK,"(1-0, 3-1, 0-2)","1-0, 3-1, 0-2"
1004368,18263,2025-09-25 19:00,,Timrå IK,3-4,,Husqvarna Garden,6456,4,"25,00%",09:00,"13,79",22,4,29,TIK,29,"0,00%",04:00,"12,00",25,3,25,HV71,"(2-1, 0-3, 1-0)","2-1, 0-3, 1-0"
1004369,18263,2025-09-25 19:00,Leksands IF,Skellefteå AIK,8-5,,Tegera Arena,6039,12,"75,00%",06:50,"17,24",13,5,29,SKE,10,"40,00%",07:20,"38,10",24,8,21,LIF,"(5-1, 1-3, 2-1)","5-1, 1-3, 2-1"
1004370,18263,2025-09-25 19:00,Luleå HF,Djurgårdens IF,2-4,,Coop Norrbotten Arena,6150,10,"0,00%",09:00,"16,67",23,4,24,DIF,29,"40,00%",07:37,"8,00",20,2,25,LHF,"(1-1, 0-0, 1-3)","1-1, 0-0, 1-3"
1004371,18263,2025-09-25 19:00,IF Malmö Redhawks,Brynäs IF,5-2,,Malmö Arena,6166,4,"33,33%",05:38,"8,33",21,2,24,BIF,8,"100,00%",01:47,"19,23",22,5,26,MIF,"(0-2, 4-0, 1-0)","0-2, 4-0, 1-0"
1004372,18263,2025-09-25 19:00,Rögle BK,Linköping HC,0-2,,Catena Arena,6147,12,"50,00%",02:09,"6,90",29,2,29,LHC,4,"0,00%",11:51,"0,00",27,0,29,RBK,"(0-0, 0-1, 0-1)","0-0, 0-1, 0-1"
1004378,18263,2025-09-25 19:00,Växjö Lakers HC,Örebro HK,4-1,,Vida Arena,5288,6,"0,00%",04:00,"5,26",19,1,19,ÖHK,4,"0,00%",06:00,"17,39",18,4,23,VÄX,"(3-1, 1-0, 0-0)","3-1, 1-0, 0-0"
1004383,18263,2025-09-27 15:15,Färjestad BK,Växjö Lakers HC,2-4,,Löfbergs Arena,7152,10,"0,00%",02:00,"19,05",20,4,21,VÄX,4,"0,00%",08:00,"9,09",17,2,22,FBK,"(1-1, 1-2, 0-1)","1-1, 1-2, 0-1"
1004384,18263,2025-09-27 15:15,,Frölunda HC,1-2,,Husqvarna Garden,6800,10,"0,00%",02:00,"8,00",25,2,25,FRÖ,2,"0,00%",08:39,"3,85",23,1,26,HV71,"(0-1, 1-1, 0-0)","0-1, 1-1, 0-0"
1004386,18263,2025-09-27 15:15,Leksands IF,Luleå HF,1-4,,Tegera Arena,7036,10,"0,00%",04:00,"28,57",20,4,14,LHF,8,"0,00%",06:00,"4,76",10,1,21,LIF,"(1-1, 0-1, 0-2)","1-1, 0-1, 0-2"
1004388,18263,2025-09-27 15:15,Örebro HK,Skellefteå AIK,0-3,,Behrn Arena,5238,8,"0,00%",02:00,"18,75",19,3,16,SKE,2,"0,00%",08:00,"0,00",13,0,19,ÖHK,"(0-0, 0-2, 0-1)","0-0, 0-2, 0-1"
1004390,18263,2025-09-27 18:00,Linköping HC,IF Malmö Redhawks,2-5,,Saab Arena,6084,6,"50,00%",03:40,"33,33",30,5,15,MIF,6,"50,00%",03:53,"6,25",10,2,32,LHC,"(1-2, 1-2, 0-1)","1-2, 1-2, 0-1"
1004392,18263,2025-09-27 18:00,Djurgårdens IF,Timrå IK,4-2,,"Hovet, Johanneshov",8094,0,,,"5,71",17,2,35,TIK,4,,,"19,05",33,4,21,DIF,"(1-1, 1-0, 2-1)","1-1, 1-0, 2-1"
1004394,18263,2025-09-27 18:00,Rögle BK,Brynäs IF,4-3,,Catena Arena,6310,8,"0,00%",04:00,"13,04",26,3,23,BIF,6,"66,67%",04:12,"13,33",20,4,30,RBK,"(1-1, 1-0, 2-2)","1-1, 1-0, 2-2"
1004399,18263,2025-09-30 19:00,Frölunda HC,Brynäs IF,3-1,,Scandinavium,11854,6,"0,00%",04:13,"2,86",16,1,35,BIF,6,"66,67%",03:34,"15,79",34,3,19,FRÖ,"(1-0, 2-0, 0-1)","1-0, 2-0, 0-1"
1004400,18263,2025-09-30 19:00,,Leksands IF,2-1,,Husqvarna Garden,6314,4,"0,00%",04:00,"4,17",23,1,24,LIF,4,"0,00%",04:00,"8,00",23,2,25,HV71,"(0-0, 1-1, 1-0)","0-0, 1-1, 1-0"
1004402,18263,2025-09-30 19:00,Linköping HC,Färjestad BK,0-2,,Saab Arena,6326,2,"33,33%",03:51,"7,14",23,2,28,FBK,6,"0,00%",02:00,"0,00",26,0,23,LHC,"(0-0, 0-1, 0-1)","0-0, 0-1, 0-1"
1004403,18263,2025-09-30 19:00,Örebro HK,Djurgårdens IF,4-3,,Behrn Arena,5500,4,"0,00%",02:00,"11,54",25,3,26,DIF,2,"50,00%",03:49,"13,79",23,4,29,ÖHK,"(0-1, 2-0, 2-2)","0-1, 2-0, 2-2"
1004404,18263,2025-09-30 19:00,Skellefteå AIK,Luleå HF,4-3,,Skellefteå Kraft Arena,5801,8,"0,00%",04:00,"20,00",25,3,15,LHF,6,"66,67%",03:42,"13,79",12,4,29,SKE,"(2-0, 1-2, 1-1)","2-0, 1-2, 1-1"
1004405,18263,2025-09-30 19:00,Timrå IK,Rögle BK,1-2,,SCA Arena,4566,6,"0,00%",06:00,"6,06",19,2,33,RBK,8,"0,00%",02:00,"5,00",31,1,20,TIK,"(0-1, 1-0, 0-0, 0-1)","0-1, 1-0, 0-0, 0-1"
