team,player,goals,assists,points,penalties,pim
VÄX,"Mclaughlin, Dylan",12.0,13.0,25.0,2.0,4.0
RBK,"Horky, Lubos",12.0,13.0,25.0,1.0,2.0
HV,"Kloos, Justin",10.0,15.0,25.0,6.0,12.0
TIK,"Genborg, Eddie",9.0,16.0,25.0,12.0,24.0
LHF,"Gustafsson, Erik",9.0,16.0,25.0,10.0,20.0
FRÖ,"Högberg, Linus",8.0,17.0,25.0,5.0,10.0
LIF,"Lindqvist, Michael",6.0,19.0,25.0,6.0,20.0
SKE,"Bryggman, Lars",11.0,13.0,24.0,12.0,24.0
BIF,"Pettersson, Lucas",10.0,14.0,24.0,1.0,2.0
SKE,"Lindholm, Pär",6.0,18.0,24.0,9.0,18.0
LIF,"Cehlarik, Peter",5.0,19.0,24.0,8.0,16.0
BIF,"Lindblom, Oskar",14.0,9.0,23.0,7.0,35.0
LHF,"Hedqvist, Isac",13.0,10.0,23.0,16.0,32.0
ÖHK,"Martin, Luke",7.0,16.0,23.0,10.0,41.0
MIF,"Öberg, Linus",15.0,7.0,22.0,8.0,16.0
VÄX,"Henriksson, Karl",13.0,9.0,22.0,14.0,49.0
ÖHK,"Steen, Noah",12.0,10.0,22.0,9.0,18.0
LHC,"Karlström, Fredrik",12.0,10.0,22.0,3.0,6.0
FBK,"Tomasek, David",11.0,11.0,22.0,6.0,12.0
TIK,"Lander, Anton",10.0,12.0,22.0,9.0,18.0
FRÖ,"Peterson, Jacob",9.0,13.0,22.0,7.0,14.0
LHC,"Ehn, Christoffer",9.0,13.0,22.0,4.0,8.0
FRÖ,"Friberg, Max",7.0,15.0,22.0,6.0,12.0
LHF,"Omark, Linus",6.0,16.0,22.0,9.0,18.0
LHF,"Laaksonen, Oskari",5.0,17.0,22.0,13.0,26.0
FRÖ,"Egli, Dominik",4.0,18.0,22.0,17.0,55.0
ÖHK,"Polin, Egor",10.0,11.0,21.0,4.0,8.0
FBK,"Roos, Filip",8.0,13.0,21.0,4.0,8.0
SKE,"Lundberg, Arvid",7.0,14.0,21.0,10.0,20.0
MIF,"Niemelä, Topi",5.0,16.0,21.0,10.0,20.0
DIF,"Pettersen, Mathias",4.0,17.0,21.0,16.0,53.0
SKE,"Grahn, Viktor",4.0,17.0,21.0,3.0,6.0
HV,"Pettersson, Hugo",12.0,8.0,20.0,1.0,2.0
FBK,"Nygård, Joakim",10.0,10.0,20.0,4.0,8.0
FRÖ,"Lasu, Nicklas",8.0,12.0,20.0,12.0,24.0
TIK,"Hartmann, Sebastian",8.0,12.0,20.0,11.0,22.0
RBK,"Ladue, Paul",8.0,12.0,20.0,8.0,16.0
FRÖ,"Dower Nilsson, Noah",8.0,12.0,20.0,6.0,12.0
LIF,"Veronneau, Max",7.0,13.0,20.0,1.0,2.0
RBK,"Sundsvik, Albin",6.0,14.0,20.0,6.0,12.0
LHF,"Sellgren, Jesper",3.0,17.0,20.0,4.0,8.0
RBK,"Everberg, Dennis",11.0,8.0,19.0,13.0,26.0
ÖHK,"Oscarson, Milton",10.0,9.0,19.0,10.0,20.0
RBK,"Sandin, Linus",9.0,10.0,19.0,7.0,17.0
FBK,"Johansson, Linus",5.0,14.0,19.0,17.0,34.0
LHC,"Bernhardt, David",5.0,14.0,19.0,5.0,10.0
LIF,"Strandell, Olle",5.0,14.0,19.0,5.0,10.0
SKE,"Lindberg, Valter",5.0,14.0,19.0,4.0,8.0
