game_id,season_id,created_at,report_name
1004360,18263,2025-09-20 20:14:32,Official Game Report
1004321,18263,2025-09-23 17:00:13,Official Line Up
1004321,18263,2025-09-23 17:00:14,Official Team Roster
1004321,18263,2025-09-29 11:14:58,Official Game Report
1004321,18263,2025-09-29 11:15:00,Media Game Summary
1004364,18263,2025-09-25 18:44:04,Official Line Up
1004364,18263,2025-09-25 18:44:05,Official Team Roster
1004364,18263,2025-10-08 10:52:17,Official Game Report
1004364,18263,2025-10-08 10:52:18,Media Game Summary
1004368,18263,2025-09-25 17:19:32,Official Line Up
1004368,18263,2025-09-25 17:19:32,Official Team Roster
1004368,18263,2025-09-25 21:16:39,Official Game Report
1004369,18263,2025-09-25 17:11:06,Official Line Up
1004369,18263,2025-09-25 17:11:06,Official Team Roster
1004369,18263,2025-09-25 21:36:54,Official Game Report
1004370,18263,2025-09-25 19:37:59,Official Line Up
1004370,18263,2025-09-25 19:37:59,Official Team Roster
1004370,18263,2025-09-25 21:36:20,Official Game Report
1004371,18263,2025-09-25 19:55:20,Official Line Up
1004371,18263,2025-09-25 19:55:20,Official Team Roster
1004371,18263,2025-10-05 16:41:12,Official Game Report
1004371,18263,2025-10-05 16:41:13,Media Game Summary
1004372,18263,2025-09-25 17:16:03,Official Line Up
1004372,18263,2025-09-25 17:16:04,Official Team Roster
1004372,18263,2025-09-25 21:27:00,Official Game Report
1004378,18263,2025-09-25 19:53:57,Official Line Up
1004378,18263,2025-09-25 19:53:57,Official Team Roster
1004378,18263,2025-09-25 21:08:14,Official Game Report
1004378,18263,2025-09-25 21:08:15,Media Game Summary
1004383,18263,2025-09-27 14:09:00,Official Line Up
1004383,18263,2025-09-27 14:09:01,Official Team Roster
1004383,18263,2025-09-27 17:42:02,Official Game Report
1004383,18263,2025-09-27 17:42:03,Media Game Summary
1004384,18263,2025-09-27 13:15:16,Official Line Up
1004384,18263,2025-09-27 13:15:21,Official Team Roster
1004384,18263,2025-09-27 17:42:44,Official Game Report
1004384,18263,2025-09-27 17:42:45,Media Game Summary
1004386,18263,2025-09-27 13:38:08,Official Line Up
1004386,18263,2025-09-27 13:38:08,Official Team Roster
1004386,18263,2025-09-27 17:34:39,Official Game Report
1004386,18263,2025-09-27 17:34:40,Media Game Summary
1004388,18263,2025-09-27 13:39:28,Official Line Up
1004388,18263,2025-09-27 13:39:29,Official Team Roster
1004388,18263,2025-09-27 17:50:42,Official Game Report
1004388,18263,2025-09-27 17:50:43,Media Game Summary
1004390,18263,2025-09-27 16:13:46,Official Line Up
1004390,18263,2025-09-27 16:13:46,Official Team Roster
1004390,18263,2025-10-23 15:30:31,Official Game Report
1004390,18263,2025-10-23 15:30:32,Media Game Summary
1004392,18263,2025-09-27 16:03:55,Official Line Up
1004392,18263,2025-09-27 16:03:56,Official Team Roster
1004392,18263,2025-10-09 15:19:10,Official Game Report
1004392,18263,2025-10-09 15:19:11,Media Game Summary
1004394,18263,2025-09-27 16:55:56,Official Line Up
1004394,18263,2025-09-27 16:55:57,Official Team Roster
1004394,18263,2025-09-29 14:37:37,Official Game Report
1004394,18263,2025-09-29 14:37:38,Media Game Summary
1004399,18263,2025-09-30 17:15:54,Official Line Up
1004399,18263,2025-09-30 17:15:55,Official Team Roster
1004399,18263,2025-09-30 21:19:46,Official Game Report
1004399,18263,2025-09-30 21:19:47,Media Game Summary
1004400,18263,2025-09-30 17:12:35,Official Line Up
1004400,18263,2025-09-30 17:12:36,Official Team Roster
1004400,18263,2025-09-30 21:23:34,Official Game Report
1004400,18263,2025-09-30 21:23:35,Media Game Summary
1004402,18263,2025-09-30 19:37:24,Official Line Up
1004402,18263,2025-09-30 19:37:24,Official Team Roster
1004402,18263,2025-09-30 21:30:27,Official Game Report
1004402,18263,2025-09-30 21:30:28,Media Game Summary
1004403,18263,2025-09-30 17:17:32,Official Line Up
1004403,18263,2025-09-30 17:17:32,Official Team Roster
1004403,18263,2025-09-30 21:30:30,Official Game Report
1004403,18263,2025-09-30 21:30:32,Media Game Summary
1004404,18263,2025-09-30 18:29:01,Official Line Up
1004404,18263,2025-09-30 18:29:02,Official Team Roster
1004404,18263,2025-09-30 21:19:19,Official Game Report
1004404,18263,2025-09-30 21:19:20,Media Game Summary
1004405,18263,2025-09-30 17:34:04,Official Line Up
1004405,18263,2025-09-30 17:34:05,Official Team Roster
1004405,18263,2025-09-30 21:22:49,Official Game Report
1004405,18263,2025-09-30 21:22:50,Media Game Summary
1004419,18263,2025-10-02 18:27:45,Official Line Up
1004419,18263,2025-10-02 18:27:46,Official Team Roster
1004419,18263,2025-10-09 15:22:33,Official Game Report
1004419,18263,2025-10-09 15:22:34,Media Game Summary
1004421,18263,2025-10-02 17:29:00,Official Line Up
1004421,18263,2025-10-02 17:29:00,Official Team Roster
1004421,18263,2025-10-02 21:21:43,Official Game Report
1004421,18263,2025-10-02 21:21:44,Media Game Summary
1004422,18263,2025-10-02 17:35:30,Official Line Up
1004422,18263,2025-10-02 17:35:30,Official Team Roster
1004422,18263,2025-10-02 21:43:55,Official Game Report
1004422,18263,2025-10-02 21:43:55,Media Game Summary
1004424,18263,2025-10-02 17:24:51,Official Line Up
1004424,18263,2025-10-02 17:24:52,Official Team Roster
1004424,18263,2025-10-02 21:28:43,Official Game Report
1004424,18263,2025-10-02 21:28:44,Media Game Summary
1004426,18263,2025-10-02 17:50:18,Official Line Up
1004426,18263,2025-10-02 17:50:19,Official Team Roster
1004426,18263,2025-10-02 21:28:13,Official Game Report
1004426,18263,2025-10-02 21:28:14,Media Game Summary
1004428,18263,2025-10-02 17:07:29,Official Line Up
1004428,18263,2025-10-02 17:07:29,Official Team Roster
1004428,18263,2025-10-02 21:21:33,Official Game Report
1004428,18263,2025-10-02 21:21:34,Media Game Summary
1004430,18263,2025-10-02 17:07:21,Official Line Up
1004430,18263,2025-10-02 17:07:21,Official Team Roster
1004430,18263,2025-10-02 21:18:54,Official Game Report
1004430,18263,2025-10-02 21:18:55,Media Game Summary
1004437,18263,2025-10-04 13:36:44,Official Line Up
1004437,18263,2025-10-04 13:36:44,Official Team Roster
1004437,18263,2025-10-04 17:32:12,Official Game Report
1004437,18263,2025-10-04 17:32:13,Media Game Summary
1004439,18263,2025-10-04 15:07:56,Official Line Up
1004439,18263,2025-10-04 15:07:57,Official Team Roster
1004439,18263,2025-10-04 19:32:37,Official Game Report
1004439,18263,2025-10-04 19:32:38,Media Game Summary
1004441,18263,2025-10-04 13:26:38,Official Line Up
1004441,18263,2025-10-04 13:26:39,Official Team Roster
1004441,18263,2025-10-04 17:58:44,Official Game Report
1004441,18263,2025-10-04 17:58:46,Media Game Summary
1004447,18263,2025-10-04 14:13:55,Official Line Up
1004447,18263,2025-10-04 14:13:56,Official Team Roster
1004447,18263,2025-10-04 17:41:39,Official Game Report
1004447,18263,2025-10-04 17:41:40,Media Game Summary
1004443,18263,2025-10-04 16:13:54,Official Line Up
1004443,18263,2025-10-04 16:13:55,Official Team Roster
1004443,18263,2025-10-04 20:08:55,Official Game Report
1004443,18263,2025-10-04 20:08:56,Media Game Summary
1004445,18263,2025-10-04 17:31:53,Official Line Up
1004445,18263,2025-10-04 17:31:54,Official Team Roster
1004445,18263,2025-10-08 10:52:13,Official Game Report
1004445,18263,2025-10-08 10:52:14,Media Game Summary
1004449,18263,2025-10-04 16:03:07,Official Line Up
1004449,18263,2025-10-04 16:03:08,Official Team Roster
1004449,18263,2025-10-06 13:10:58,Official Game Report
1004449,18263,2025-10-06 13:10:59,Media Game Summary
1004456,18263,2025-10-09 17:02:39,Official Line Up
1004456,18263,2025-10-09 17:02:40,Official Team Roster
1004456,18263,2025-10-09 21:19:48,Official Game Report
1004456,18263,2025-10-09 21:19:49,Media Game Summary
1004457,18263,2025-10-09 17:38:27,Official Line Up
1004457,18263,2025-10-09 17:38:28,Official Team Roster
1004457,18263,2025-10-09 21:50:45,Official Game Report
1004457,18263,2025-10-09 21:50:46,Media Game Summary
1004461,18263,2025-10-09 17:06:48,Official Line Up
1004461,18263,2025-10-09 17:06:48,Official Team Roster
1004461,18263,2025-10-13 16:26:46,Official Game Report
1004461,18263,2025-10-13 16:26:47,Media Game Summary
1004464,18263,2025-10-09 17:06:29,Official Line Up
1004464,18263,2025-10-09 17:06:30,Official Team Roster
1004464,18263,2025-10-09 21:22:07,Official Game Report
1004464,18263,2025-10-09 21:22:09,Media Game Summary
1004466,18263,2025-10-09 17:19:57,Official Line Up
1004466,18263,2025-10-09 17:19:58,Official Team Roster
1004466,18263,2025-10-09 21:28:59,Official Game Report
1004466,18263,2025-10-09 21:29:01,Media Game Summary
1004467,18263,2025-10-09 17:32:33,Official Line Up
1004467,18263,2025-10-09 17:32:34,Official Team Roster
1004467,18263,2025-10-09 22:25:35,Official Game Report
1004467,18263,2025-10-09 22:25:36,Media Game Summary
1004476,18263,2025-10-11 13:45:59,Official Line Up
1004476,18263,2025-10-11 13:46:00,Official Team Roster
1004476,18263,2025-10-11 17:42:41,Official Game Report
1004476,18263,2025-10-11 17:42:42,Media Game Summary
1004477,18263,2025-10-11 13:24:07,Official Line Up
1004477,18263,2025-10-11 13:24:08,Official Team Roster
1004477,18263,2025-10-11 18:01:11,Official Game Report
1004477,18263,2025-10-11 18:01:13,Media Game Summary
1004480,18263,2025-10-11 13:43:35,Official Line Up
1004480,18263,2025-10-11 13:43:36,Official Team Roster
1004480,18263,2025-10-11 17:38:35,Official Game Report
1004480,18263,2025-10-11 17:38:37,Media Game Summary
1004481,18263,2025-10-11 13:43:53,Official Line Up
1004481,18263,2025-10-11 13:43:54,Official Team Roster
1004481,18263,2025-10-11 17:26:24,Official Game Report
1004481,18263,2025-10-11 17:26:25,Media Game Summary
1004482,18263,2025-10-11 16:57:13,Official Line Up
1004482,18263,2025-10-11 16:57:14,Official Team Roster
1004482,18263,2025-10-11 20:29:25,Official Game Report
1004482,18263,2025-10-11 20:29:27,Media Game Summary
1004484,18263,2025-10-11 16:22:30,Official Line Up
1004484,18263,2025-10-11 16:22:31,Official Team Roster
1004484,18263,2025-10-11 20:27:31,Official Game Report
1004484,18263,2025-10-11 20:27:32,Media Game Summary
1004486,18263,2025-10-11 16:10:49,Official Line Up
1004486,18263,2025-10-11 16:10:49,Official Team Roster
1004486,18263,2025-10-23 15:28:13,Official Game Report
1004486,18263,2025-10-23 15:28:14,Media Game Summary
1004492,18263,2025-10-16 17:26:45,Official Line Up
1004492,18263,2025-10-16 17:26:46,Official Team Roster
1004492,18263,2025-10-16 21:38:16,Official Game Report
1004492,18263,2025-10-16 21:38:17,Media Game Summary
1004495,18263,2025-10-16 17:25:46,Official Line Up
1004495,18263,2025-10-16 17:25:47,Official Team Roster
1004495,18263,2025-10-16 21:31:21,Official Game Report
1004495,18263,2025-10-16 21:31:23,Media Game Summary
1004496,18263,2025-10-16 17:00:16,Official Line Up
1004496,18263,2025-10-16 17:00:16,Official Team Roster
1004496,18263,2025-10-16 21:20:05,Official Game Report
1004496,18263,2025-10-16 21:20:07,Media Game Summary
1004497,18263,2025-10-16 18:08:46,Official Line Up
1004497,18263,2025-10-16 18:08:47,Official Team Roster
1004497,18263,2025-10-16 21:47:32,Official Game Report
1004497,18263,2025-10-16 21:47:33,Media Game Summary
1004498,18263,2025-10-16 18:34:24,Official Line Up
1004498,18263,2025-10-16 18:34:25,Official Team Roster
1004498,18263,2025-10-16 22:22:08,Official Game Report
1004498,18263,2025-10-16 22:22:10,Media Game Summary
1004499,18263,2025-10-16 17:41:02,Official Line Up
1004499,18263,2025-10-16 17:41:02,Official Team Roster
1004499,18263,2025-10-16 21:28:35,Official Game Report
1004499,18263,2025-10-16 21:28:36,Media Game Summary
1004505,18263,2025-10-18 13:30:35,Official Line Up
1004505,18263,2025-10-18 13:30:36,Official Team Roster
1004505,18263,2025-10-23 14:29:21,Official Game Report
1004505,18263,2025-10-23 14:29:22,Media Game Summary
1004506,18263,2025-10-18 14:02:07,Official Line Up
1004506,18263,2025-10-18 14:02:08,Official Team Roster
1004506,18263,2025-10-18 17:30:39,Official Game Report
1004506,18263,2025-10-18 17:30:40,Media Game Summary
1004510,18263,2025-10-18 15:11:27,Official Line Up
1004510,18263,2025-10-18 15:11:28,Official Team Roster
1004510,18263,2025-10-18 19:34:43,Official Game Report
1004510,18263,2025-10-18 19:34:44,Media Game Summary
1004515,18263,2025-10-18 13:48:42,Official Line Up
1004515,18263,2025-10-18 13:48:43,Official Team Roster
1004515,18263,2025-10-18 17:42:16,Official Game Report
1004515,18263,2025-10-18 17:42:17,Media Game Summary
1004508,18263,2025-10-18 16:45:29,Official Line Up
1004508,18263,2025-10-18 16:45:30,Official Team Roster
1004508,18263,2025-10-18 20:19:38,Official Game Report
1004508,18263,2025-10-18 20:19:39,Media Game Summary
1004513,18263,2025-10-18 17:52:36,Official Line Up
1004513,18263,2025-10-18 17:52:37,Official Team Roster
1004513,18263,2025-10-18 20:21:03,Official Game Report
1004513,18263,2025-10-18 20:21:04,Media Game Summary
1004517,18263,2025-10-18 16:16:44,Official Line Up
1004517,18263,2025-10-18 16:16:44,Official Team Roster
1004517,18263,2025-10-18 20:32:09,Official Game Report
1004517,18263,2025-10-18 20:32:10,Media Game Summary
1004522,18263,2025-10-23 17:25:52,Official Line Up
1004522,18263,2025-10-23 17:25:53,Official Team Roster
1004522,18263,2025-10-23 21:38:48,Official Game Report
1004522,18263,2025-10-23 21:38:49,Media Game Summary
1004523,18263,2025-10-23 17:46:24,Official Line Up
1004523,18263,2025-10-23 17:46:24,Official Team Roster
1004523,18263,2025-10-23 21:20:18,Official Game Report
1004523,18263,2025-10-23 21:20:19,Media Game Summary
1004524,18263,2025-10-23 17:44:50,Official Line Up
1004524,18263,2025-10-23 17:44:50,Official Team Roster
1004524,18263,2025-10-23 21:17:11,Official Game Report
1004524,18263,2025-10-23 21:17:12,Media Game Summary
1004526,18263,2025-10-23 17:18:49,Official Line Up
1004526,18263,2025-10-23 17:18:49,Official Team Roster
1004526,18263,2025-10-23 21:20:07,Official Game Report
1004526,18263,2025-10-23 21:20:09,Media Game Summary
1004529,18263,2025-10-23 17:38:18,Official Line Up
1004529,18263,2025-10-23 17:38:18,Official Team Roster
1004529,18263,2025-10-28 11:24:21,Official Game Report
1004529,18263,2025-10-28 11:24:23,Media Game Summary
1004531,18263,2025-10-23 18:38:21,Official Line Up
1004531,18263,2025-10-23 18:38:22,Official Team Roster
1004531,18263,2025-10-28 09:09:01,Official Game Report
1004531,18263,2025-10-28 09:09:02,Media Game Summary
1004533,18263,2025-10-23 17:43:01,Official Line Up
1004533,18263,2025-10-23 17:43:02,Official Team Roster
1004533,18263,2025-10-23 21:16:21,Official Game Report
1004533,18263,2025-10-23 21:16:22,Media Game Summary
1004537,18263,2025-10-25 13:15:11,Official Line Up
1004537,18263,2025-10-25 13:15:12,Official Team Roster
1004537,18263,2025-10-25 18:00:57,Official Game Report
1004537,18263,2025-10-25 18:00:58,Media Game Summary
1004539,18263,2025-10-25 17:33:14,Official Line Up
1004539,18263,2025-10-25 17:33:14,Official Team Roster
1004539,18263,2025-10-25 17:58:34,Official Game Report
1004539,18263,2025-10-25 17:58:35,Media Game Summary
1004542,18263,2025-10-25 14:12:05,Official Line Up
1004542,18263,2025-10-25 14:12:06,Official Team Roster
1004542,18263,2025-10-28 11:11:54,Official Game Report
1004542,18263,2025-10-28 11:11:55,Media Game Summary
1004544,18263,2025-10-25 16:15:29,Official Line Up
1004544,18263,2025-10-25 16:15:30,Official Team Roster
1004544,18263,2025-10-25 20:21:22,Official Game Report
1004544,18263,2025-10-25 20:21:22,Media Game Summary
1004547,18263,2025-10-25 16:22:23,Official Line Up
1004547,18263,2025-10-25 16:22:24,Official Team Roster
1004547,18263,2025-10-25 21:45:17,Official Game Report
1004547,18263,2025-10-25 21:45:18,Media Game Summary
1004549,18263,2025-10-25 14:18:55,Official Line Up
1004549,18263,2025-10-25 14:18:55,Official Team Roster
1004549,18263,2025-10-28 09:20:27,Official Game Report
1004549,18263,2025-10-28 09:20:28,Media Game Summary
1004540,18263,2025-10-25 16:03:54,Official Line Up
1004540,18263,2025-10-25 16:03:55,Official Team Roster
1004540,18263,2025-10-27 15:07:46,Official Game Report
1004540,18263,2025-10-27 15:07:47,Media Game Summary
1004554,18263,2025-10-28 17:45:44,Official Line Up
1004554,18263,2025-10-28 17:45:45,Official Team Roster
1004554,18263,2025-10-29 13:51:41,Official Game Report
1004554,18263,2025-10-29 13:51:42,Media Game Summary
1004557,18263,2025-10-28 17:24:59,Official Line Up
1004557,18263,2025-10-28 17:25:00,Official Team Roster
1004557,18263,2025-10-29 13:51:26,Official Game Report
1004557,18263,2025-10-29 13:51:27,Media Game Summary
1004558,18263,2025-10-28 17:58:12,Official Line Up
1004558,18263,2025-10-28 17:58:13,Official Team Roster
1004558,18263,2025-10-28 21:38:22,Official Game Report
1004558,18263,2025-10-28 21:38:24,Media Game Summary
1004560,18263,2025-10-28 18:56:33,Official Line Up
1004560,18263,2025-10-28 18:56:34,Official Team Roster
1004560,18263,2025-10-28 21:19:29,Official Game Report
1004560,18263,2025-10-28 21:19:30,Media Game Summary
1004562,18263,2025-10-28 18:15:00,Official Line Up
1004562,18263,2025-10-28 18:15:01,Official Team Roster
1004562,18263,2025-10-28 21:19:19,Official Game Report
1004562,18263,2025-10-28 21:19:20,Media Game Summary
1004564,18263,2025-10-28 17:24:01,Official Line Up
1004564,18263,2025-10-28 17:24:01,Official Team Roster
1004564,18263,2025-10-28 21:27:44,Official Game Report
1004564,18263,2025-10-28 21:27:45,Media Game Summary
1004565,18263,2025-10-28 17:44:15,Official Line Up
1004565,18263,2025-10-28 17:44:15,Official Team Roster
1004565,18263,2025-10-28 21:27:34,Official Game Report
1004565,18263,2025-10-28 21:27:36,Media Game Summary
1004567,18263,2025-10-30 17:30:48,Official Line Up
1004567,18263,2025-10-30 17:30:49,Official Team Roster
1004567,18263,2025-10-30 21:30:37,Official Game Report
1004567,18263,2025-10-30 21:30:39,Media Game Summary
1004574,18263,2025-10-30 17:16:55,Official Line Up
1004574,18263,2025-10-30 17:16:56,Official Team Roster
1004574,18263,2025-10-30 21:14:34,Official Game Report
1004574,18263,2025-10-30 21:14:35,Media Game Summary
1004576,18263,2025-10-30 17:17:30,Official Line Up
1004576,18263,2025-10-30 17:17:30,Official Team Roster
1004576,18263,2025-10-30 21:40:17,Official Game Report
1004576,18263,2025-10-30 21:40:18,Media Game Summary
1004578,18263,2025-10-30 17:23:51,Official Line Up
1004578,18263,2025-10-30 17:23:52,Official Team Roster
1004578,18263,2025-10-30 21:25:30,Official Game Report
1004578,18263,2025-10-30 21:25:31,Media Game Summary
1004580,18263,2025-10-30 17:35:30,Official Line Up
1004580,18263,2025-10-30 17:35:31,Official Team Roster
1004580,18263,2025-11-03 13:53:47,Official Game Report
1004580,18263,2025-11-03 13:53:48,Media Game Summary
1004582,18263,2025-10-30 17:06:40,Official Line Up
1004582,18263,2025-10-30 17:06:41,Official Team Roster
1004582,18263,2025-10-30 21:22:18,Official Game Report
1004582,18263,2025-10-30 21:22:19,Media Game Summary
1004584,18263,2025-10-30 17:19:03,Official Line Up
1004584,18263,2025-10-30 17:19:04,Official Team Roster
1004584,18263,2025-10-31 09:25:03,Official Game Report
1004584,18263,2025-10-31 09:25:05,Media Game Summary
1004589,18263,2025-11-01 13:57:17,Official Line Up
1004589,18263,2025-11-01 13:57:17,Official Team Roster
1004589,18263,2025-11-01 17:43:01,Official Game Report
1004589,18263,2025-11-01 17:43:02,Media Game Summary
1004591,18263,2025-11-01 13:43:40,Official Line Up
1004591,18263,2025-11-01 13:43:41,Official Team Roster
1004591,18263,2025-11-01 21:19:43,Official Game Report
1004591,18263,2025-11-01 21:19:45,Media Game Summary
1004593,18263,2025-11-01 13:53:55,Official Line Up
1004593,18263,2025-11-01 13:53:55,Official Team Roster
1004593,18263,2025-11-01 17:36:43,Official Game Report
1004593,18263,2025-11-01 17:36:44,Media Game Summary
1004594,18263,2025-11-01 13:25:36,Official Line Up
