player,team,goals,assists,penalties,pim,points
VIEDENSKÝ Marek,HK Spišská Nová Ves,8.0,17.0,0.0,0.0,25.0
LAMPER Patrik,HC Košice,18.0,6.0,0.0,0.0,24.0
SAVOIE Carter Patrick,HK Spišská Nová Ves,13.0,11.0,0.0,0.0,24.0
PETEREK Jonáš,Slovan Bratislava,11.0,13.0,0.0,0.0,24.0
ZÁBORSKÝ Tomáš,HK 32 Liptovský Mikuláš,10.0,14.0,0.0,0.0,24.0
CHOVAN Michal,HC Košice,2.0,22.0,0.0,0.0,24.0
ROGOŇ Patrik,HC Košice,14.0,9.0,0.0,0.0,23.0
BALÁŽ Jozef,Vlci Žilina,8.0,15.0,0.0,0.0,23.0
ŠRAMATY Marek,HKM Zvolen,7.0,16.0,0.0,0.0,23.0
ARCHAMBAULT Olivier,HK Spišská Nová Ves,6.0,17.0,0.0,0.0,23.0
MCISAAC Jared William,HK Spišská Nová Ves,5.0,18.0,0.0,0.0,23.0
BUČKO Martin,HC Košice,0.0,23.0,0.0,0.0,23.0
BUBELA Miloš,HK Nitra,10.0,12.0,0.0,0.0,22.0
BODÁK Martin,HK Poprad,9.0,13.0,0.0,0.0,22.0
MARCINKO Tomáš,Slovan Bratislava,9.0,13.0,0.0,0.0,22.0
MOLNÁR Ondrej,HK Nitra,9.0,13.0,0.0,0.0,22.0
IBRAGIMOV Timur,HK 32 Liptovský Mikuláš,8.0,14.0,0.0,0.0,22.0
MELIŠKO Jakub,HK Dukla Michalovce,6.0,16.0,0.0,0.0,22.0
VALACH Juraj,HKM Zvolen,6.0,16.0,0.0,0.0,22.0
LEE Justin Howard,HC MONACObet B.Bystrica,5.0,17.0,0.0,0.0,22.0
VÝHONSKÝ Alex,HK Poprad,10.0,11.0,0.0,0.0,21.0
ŠANDOR Peter,HK 32 Liptovský Mikuláš,7.0,14.0,0.0,0.0,21.0
DŽUGAN Róbert,HK Spišská Nová Ves,6.0,15.0,0.0,0.0,21.0
BEŇO Michal,HKM Zvolen,5.0,16.0,0.0,0.0,21.0
ULLMAN Erik Mikael,HC Prešov,4.0,17.0,0.0,0.0,21.0
