player,team,goals,assists,penalties,pim,points
PREISINGER Miroslav,Slovan Bratislava,0.0,2.0,0.0,0.0,2.0
SENYSHYN Zachary Paul,Vlci Žilina,0.0,2.0,0.0,0.0,2.0
SENČÁK David,HKM Zvolen,0.0,2.0,0.0,0.0,2.0
SHAKHVOROSTOV Viktor,HC 19 Humenné,0.0,2.0,0.0,0.0,2.0
SURÁK Filip,HK 32 Liptovský Mikuláš,0.0,2.0,0.0,0.0,2.0
SURÁK Filip,HK Spišská Nová Ves,0.0,2.0,0.0,0.0,2.0
ČAJKOVIČ Alex,HK 32 Liptovský Mikuláš,0.0,2.0,0.0,0.0,2.0
BAPTISTE Nicholas Robert,HK Dukla Michalovce,1.0,0.0,0.0,0.0,1.0
BARCÍK Samuel,HK Skalica,1.0,0.0,0.0,0.0,1.0
BETÁK Šimon,Vlci Žilina,1.0,0.0,0.0,0.0,1.0
BRINCKO Boris,Slovan Bratislava,1.0,0.0,0.0,0.0,1.0
CIBÁK Jakub,HC 19 Humenné,1.0,0.0,0.0,0.0,1.0
DEJ František,HC MONACObet B.Bystrica,1.0,0.0,0.0,0.0,1.0
HUDEC Marek,HC Prešov,1.0,0.0,0.0,0.0,1.0
MACEJKO Miroslav,HC Prešov,1.0,0.0,0.0,0.0,1.0
MARUNA Ondrej,HK Dukla Trenčín,1.0,0.0,0.0,0.0,1.0
RYMAREV Yevgeniy,HC 19 Humenné,1.0,0.0,0.0,0.0,1.0
SACHKOV Danila,HK Skalica,1.0,0.0,0.0,0.0,1.0
STAHOŇ Ľuboš,HK Dukla Michalovce,1.0,0.0,0.0,0.0,1.0
ŠRAMATÝ Samuel,Slovan Bratislava,1.0,0.0,0.0,0.0,1.0
BARTOŠ Jan,HC Košice,0.0,1.0,0.0,0.0,1.0
BAČO Róbert,HK Spišská Nová Ves,0.0,1.0,0.0,0.0,1.0
BEČÁR Šimon,HK Dukla Trenčín,0.0,1.0,0.0,0.0,1.0
BOROV Dominik,HC 19 Humenné,0.0,1.0,0.0,0.0,1.0
DUDÁŠ Tomáš,HK Dukla Trenčín,0.0,1.0,0.0,0.0,1.0
DUNKLEY Nathan Keith,HC MONACObet B.Bystrica,0.0,1.0,0.0,0.0,1.0
GODLA Denis,HK Spišská Nová Ves,0.0,1.0,0.0,0.0,1.0
HANNOUN Dante,HC Prešov,0.0,1.0,0.0,0.0,1.0
JAKUBÍK Jakub,Vlci Žilina,0.0,1.0,0.0,0.0,1.0
JANUS Jaroslav,Slovan Bratislava,0.0,1.0,0.0,0.0,1.0
JUNCA Julian Henri Miguel,HK Dukla Trenčín,0.0,1.0,0.0,0.0,1.0
KADLUBIAK Maxim,HK 32 Liptovský Mikuláš,0.0,1.0,0.0,0.0,1.0
KALOUSEK Simon,HK Skalica,0.0,1.0,0.0,0.0,1.0
KOZÁK Lukáš,HK 32 Liptovský Mikuláš,0.0,1.0,0.0,0.0,1.0
KUBÍČEK Petr,HK Skalica,0.0,1.0,0.0,0.0,1.0
KUKUMBERG Roman,Slovan Bratislava,0.0,1.0,0.0,0.0,1.0
LACOUVÉE Connor James,Vlci Žilina,0.0,1.0,0.0,0.0,1.0
LAFERRIERE - MAILFAIT Mathias Alan Theo,HKM Zvolen,0.0,1.0,0.0,0.0,1.0
LAURENČÍK Michal,HC Prešov,0.0,1.0,0.0,0.0,1.0
LEBEDEFF Aleksi Daniel,HK 32 Liptovský Mikuláš,0.0,1.0,0.0,0.0,1.0
MANDOLESE Kevin,HKM Zvolen,0.0,1.0,0.0,0.0,1.0
MCLEOD Wyatt,HK Poprad,0.0,1.0,0.0,0.0,1.0
RABČAN Eugen,HC MONACObet B.Bystrica,0.0,1.0,0.0,0.0,1.0
SEDLIAČIK Michal,HC MONACObet B.Bystrica,0.0,1.0,0.0,0.0,1.0
SLOVÁK Marek,HC Košice,0.0,1.0,0.0,0.0,1.0
SLUKA Martin,HK Poprad,0.0,1.0,0.0,0.0,1.0
SUĽOVSKÝ Michal,HKM Zvolen,0.0,1.0,0.0,0.0,1.0
TARIŠKA Ondrej,HC Košice,0.0,1.0,0.0,0.0,1.0
URBAN Ján,HK Skalica,0.0,1.0,0.0,0.0,1.0
VARGA Timotej,HC Košice,0.0,1.0,0.0,0.0,1.0
VITOLS Eriks,HC MONACObet B.Bystrica,0.0,1.0,0.0,0.0,1.0
VYLETELKA Samuel,HC Prešov,0.0,1.0,0.0,0.0,1.0
ZEKUCIA Alexander,HC 19 Humenné,0.0,1.0,0.0,0.0,1.0
ZUŠČÁK Andrej,HC Košice,0.0,1.0,0.0,0.0,1.0
ŠIMKO Maxim,HK Nitra,0.0,1.0,0.0,0.0,1.0
ŽIAK Peter Benjamín,HC MONACObet B.Bystrica,0.0,1.0,0.0,0.0,1.0
"NEMČÍK, Martin",HK Poprad,0.0,0.0,48.0,159.0,0.0
"PETRISKA, Ján",Slovan Bratislava,0.0,0.0,26.0,120.0,0.0
"FAITH, Roman",HC MONACObet B.Bystrica,0.0,0.0,17.0,103.0,0.0
"LEE, Justin Howard",HC MONACObet B.Bystrica,0.0,0.0,20.0,103.0,0.0
"VIRTANEN, Jacob Reid",HK Dukla Michalovce,0.0,0.0,29.0,95.0,0.0
"KABÁČ, Michal",HC MONACObet B.Bystrica,0.0,0.0,25.0,92.0,0.0
"LICHANEC, Peter",HK Dukla Michalovce,0.0,0.0,25.0,92.0,0.0
"MILLER, Brenden Thomas Kevin",Vlci Žilina,0.0,0.0,24.0,90.0,0.0
"BODÁK, Martin",HK Poprad,0.0,0.0,22.0,84.0,0.0
"SPODNIAK, Matúš",HK Dukla Michalovce,0.0,0.0,29.0,79.0,0.0
"ELSON, Turner Kent",Slovan Bratislava,0.0,0.0,14.0,78.0,0.0
"CRACKNELL, Adam",HK Poprad,0.0,0.0,16.0,74.0,0.0
"BÍLY, Alex Róbert",HK 32 Liptovský Mikuláš,0.0,0.0,15.0,73.0,0.0
"KRÁLOVIČ, Tomáš",Slovan Bratislava,0.0,0.0,27.0,73.0,0.0
"RANFORD, Brendan",Vlci Žilina,0.0,0.0,21.0,71.0,0.0
"ČESÁNEK, Boris",HC MONACObet B.Bystrica,0.0,0.0,16.0,71.0,0.0
"KORCZAK, Ryder Jade",Vlci Žilina,0.0,0.0,20.0,69.0,0.0
"BREJČÁK, Ján",HC Prešov,0.0,0.0,19.0,67.0,0.0
"KYTNÁR, Milan",HK Dukla Michalovce,0.0,0.0,23.0,67.0,0.0
"STACHA, Marko",HK Nitra,0.0,0.0,20.0,67.0,0.0
"URBÁNEK, Jakub",HK Poprad,0.0,0.0,23.0,67.0,0.0
"BAČA, Matej",HK Nitra,0.0,0.0,12.0,66.0,0.0
"BELLUŠ, Martin",HK Spišská Nová Ves,0.0,0.0,11.0,64.0,0.0
"FERENC, Jakub",HC Košice,0.0,0.0,21.0,63.0,0.0
"ŠTEVULIAK, Patrik",HK Spišská Nová Ves,0.0,0.0,21.0,63.0,0.0
"CORMIER, Xavier",HK 32 Liptovský Mikuláš,0.0,0.0,14.0,62.0,0.0
"SUKEĽ, Jakub",HK 32 Liptovský Mikuláš,0.0,0.0,16.0,61.0,0.0
"VARGA, Róbert",Slovan Bratislava,0.0,0.0,20.0,61.0,0.0
"MARTEL, Jordan",HK Dukla Michalovce,0.0,0.0,26.0,60.0,0.0
"ROBERTSON, Carter",HK 32 Liptovský Mikuláš,0.0,0.0,30.0,60.0,0.0
"CHICOINE, Gabriel",Vlci Žilina,0.0,0.0,19.0,59.0,0.0
"ŠOLTÉS, Dávid",HC MONACObet B.Bystrica,0.0,0.0,15.0,59.0,0.0
"LAMPER, Patrik",HC Košice,0.0,0.0,14.0,57.0,0.0
"MAIER, Patrik",Slovan Bratislava,0.0,0.0,18.0,57.0,0.0
"TÖRÖK, Tomáš",HK Poprad,0.0,0.0,18.0,57.0,0.0
"FEKIAČ, Frederik",HK 32 Liptovský Mikuláš,0.0,0.0,19.0,56.0,0.0
"FLOOD, Erik Oscar",HK 32 Liptovský Mikuláš,0.0,0.0,15.0,56.0,0.0
"KOLENIČ, Jakub",Vlci Žilina,0.0,0.0,15.0,56.0,0.0
"KUKUČA, Andrej",HC MONACObet B.Bystrica,0.0,0.0,18.0,55.0,0.0
"VANDAS, Michael",HK Spišská Nová Ves,0.0,0.0,6.0,54.0,0.0
"BARTOŠ, Antonín",HC Košice,0.0,0.0,16.0,53.0,0.0
"BREJČÁK, Daniel",HKM Zvolen,0.0,0.0,12.0,53.0,0.0
"FERETA, Samuel",HK Poprad,0.0,0.0,16.0,53.0,0.0
"KOSMACHUK, Scott Austin",Vlci Žilina,0.0,0.0,16.0,53.0,0.0
"GOLIAN, Andrej",HKM Zvolen,0.0,0.0,15.0,51.0,0.0
"MARCINKO, Ján",HK Dukla Michalovce,0.0,0.0,15.0,51.0,0.0
"VITALOŠ, Martin",HK Nitra,0.0,0.0,15.0,51.0,0.0
"KOVÁČ, Hugo",HK Nitra,0.0,0.0,14.0,49.0,0.0
"NAUŠ, Aurel",HK Poprad,0.0,0.0,14.0,49.0,0.0
"VALIGURA, Adrián",HC Prešov,0.0,0.0,14.0,49.0,0.0
"VARONE, Philip Michael",HK Dukla Trenčín,0.0,0.0,11.0,48.0,0.0
"BAJTEK, Filip",HK Nitra,0.0,0.0,13.0,47.0,0.0
"UHRÍK, Michal",HK 32 Liptovský Mikuláš,0.0,0.0,13.0,47.0,0.0
"WALEGA, Kamil",Vlci Žilina,0.0,0.0,13.0,47.0,0.0
"TRITT, Dawson David",HK 32 Liptovský Mikuláš,0.0,0.0,14.0,46.0,0.0
"ALIŠAUSKAS, Nerijus",HK Spišská Nová Ves,0.0,0.0,12.0,45.0,0.0
"CHOVAN, Michal",HC Košice,0.0,0.0,12.0,45.0,0.0
"JUŠČÁK, Michal",Vlci Žilina,0.0,0.0,8.0,45.0,0.0
"MICHALČIN, Christián",HC MONACObet B.Bystrica,0.0,0.0,12.0,45.0,0.0
"MOLNÁR, Ondrej",HK Nitra,0.0,0.0,13.0,45.0,0.0
"ROSANDIČ, Mislav",HC Košice,0.0,0.0,22.0,44.0,0.0
"VOJTECH, Matúš",HK 32 Liptovský Mikuláš,0.0,0.0,13.0,44.0,0.0
"MARCINEK, Patrik",HKM Zvolen,0.0,0.0,11.0,43.0,0.0
"NESPALA, Jakub",HK 32 Liptovský Mikuláš,0.0,0.0,11.0,43.0,0.0
"PAULOVIČ, Matej",HK Nitra,0.0,0.0,11.0,43.0,0.0
"BONDRA, Radovan",Slovan Bratislava,0.0,0.0,21.0,42.0,0.0
"DESCHENEAU, Jaedon",HK Dukla Trenčín,0.0,0.0,17.0,42.0,0.0
"GOLJER, Adam",HK Dukla Trenčín,0.0,0.0,12.0,42.0,0.0
"HAVRILA, Matúš",HC Košice,0.0,0.0,21.0,42.0,0.0
"VÝHONSKÝ, Alex",HK Poprad,0.0,0.0,8.0,42.0,0.0
"RAPÁČ, Branislav",HK Spišská Nová Ves,0.0,0.0,10.0,41.0,0.0
"ZÁBORSKÝ, Tomáš",HK 32 Liptovský Mikuláš,0.0,0.0,10.0,41.0,0.0
"MELIŠKO, Jakub",HK Dukla Michalovce,0.0,0.0,20.0,40.0,0.0
"ROY, Marc-Olivier",HK Dukla Michalovce,0.0,0.0,16.0,40.0,0.0
"CHATRNÚCH, Michal",HC Prešov,0.0,0.0,9.0,39.0,0.0
"MIKUŠ, Juraj",HK Dukla Trenčín,0.0,0.0,9.0,39.0,0.0
"ACOLATSE, Sena Wendell",Slovan Bratislava,0.0,0.0,15.0,38.0,0.0
"GACHULINEC, Daniel",Vlci Žilina,0.0,0.0,19.0,38.0,0.0
"OKOLIČÁNY, Dávid",HK Nitra,0.0,0.0,7.0,38.0,0.0
"ZUZIN, Peter",HKM Zvolen,0.0,0.0,10.0,38.0,0.0
"ŠEDIVÝ, Eduard",HC Košice,0.0,0.0,20.0,38.0,0.0
"HATALA, Andrej",HK Dukla Trenčín,0.0,0.0,8.0,37.0,0.0
"JENDROĽ, Dominik",HK 32 Liptovský Mikuláš,0.0,0.0,8.0,37.0,0.0
"KOTVAN, Oldrich",Vlci Žilina,0.0,0.0,8.0,37.0,0.0
"SUCHÝ, Markus",HK Poprad,0.0,0.0,8.0,37.0,0.0
"BELLERIVE, Jordan Raymond Garton",HK Dukla Trenčín,0.0,0.0,18.0,36.0,0.0
"HRNKA, Tomáš",HK Nitra,0.0,0.0,18.0,36.0,0.0
"LALÍK, Lukáš",HK 32 Liptovský Mikuláš,0.0,0.0,19.0,36.0,0.0
"MICHNÁČ, Albert",HK Dukla Michalovce,0.0,0.0,5.0,36.0,0.0
"LAFERRIERE - MAILFAIT, Mathias Alan Theo",HK Spišská Nová Ves,0.0,0.0,7.0,35.0,0.0
"PECARARO, Liam",Slovan Bratislava,0.0,0.0,14.0,34.0,0.0
"PIŠOJA, Milan",HKM Zvolen,0.0,0.0,8.0,34.0,0.0
"VALACH, Juraj",HKM Zvolen,0.0,0.0,17.0,34.0,0.0
"BUNCIS, Filips",HC Prešov,0.0,0.0,6.0,33.0,0.0
"HRABČÁK, Samuel",HK Dukla Michalovce,0.0,0.0,6.0,33.0,0.0
"KUNDRIK, Peter",HK Poprad,0.0,0.0,6.0,33.0,0.0
"MCLEOD, Wyatt",HK Poprad,0.0,0.0,6.0,33.0,0.0
"VAŠAŠ, Filip",Vlci Žilina,0.0,0.0,6.0,33.0,0.0
"AHL, Filip Calle",HK Dukla Trenčín,0.0,0.0,7.0,32.0,0.0
"BAČIK, Patrik",Slovan Bratislava,0.0,0.0,16.0,32.0,0.0
"BAČO, Róbert",HC Prešov,0.0,0.0,16.0,32.0,0.0
"OSBURN, Zach",HK Nitra,0.0,0.0,17.0,32.0,0.0
"WELSH, Connor Scott",HK Dukla Michalovce,0.0,0.0,12.0,32.0,0.0
"HILLEBRAND, Richard James",HK Poprad,0.0,0.0,5.0,31.0,0.0
"KUKOS, Jozef",HKM Zvolen,0.0,0.0,5.0,31.0,0.0
"TKÁČ, Daniel Vladimír",Vlci Žilina,0.0,0.0,5.0,31.0,0.0
"KRIVOŠÍK, Filip",HC Košice,0.0,0.0,15.0,30.0,0.0
"ŽABKA, Boris",HC MONACObet B.Bystrica,0.0,0.0,15.0,30.0,0.0
"BJALONČÍK, Peter",HK Poprad,0.0,0.0,14.0,28.0,0.0
"BORTŇÁK, Dalibor",HC Prešov,0.0,0.0,10.0,28.0,0.0
"FAIRBROTHER, Gianni Duke Signorelli",HKM Zvolen,0.0,0.0,14.0,28.0,0.0
"FOMINYKH, Daniil",HK Dukla Michalovce,0.0,0.0,14.0,28.0,0.0
"GALIPEAU, Olivier",HC MONACObet B.Bystrica,0.0,0.0,14.0,28.0,0.0
"LACKA, Jakub",HK Nitra,0.0,0.0,14.0,28.0,0.0
"MIKÚŠ, Tomáš",HC Košice,0.0,0.0,14.0,28.0,0.0
"BAČO, Róbert",HK Spišská Nová Ves,0.0,0.0,3.0,27.0,0.0
"PREISINGER, Miroslav",Slovan Bratislava,0.0,0.0,3.0,27.0,0.0
"BUBELA, Miloš",HK Nitra,0.0,0.0,13.0,26.0,0.0
"CASSELS, Cole James Todd",HKM Zvolen,0.0,0.0,13.0,26.0,0.0
"JELLÚŠ, Simon",HC Košice,0.0,0.0,13.0,26.0,0.0
"JUNCA, Julian Henri Miguel",HK Dukla Trenčín,0.0,0.0,4.0,26.0,0.0
"MAJDAN, Juraj",HK Poprad,0.0,0.0,13.0,26.0,0.0
"MARCINKO, Tomáš",Slovan Bratislava,0.0,0.0,13.0,26.0,0.0
"REPČÍK, Peter",HC Košice,0.0,0.0,4.0,26.0,0.0
"STRIPAI, Adam",HK Dukla Michalovce,0.0,0.0,13.0,26.0,0.0
"VALACH, Marek",HC MONACObet B.Bystrica,0.0,0.0,14.0,26.0,0.0
"DUDÁŠ, Tomáš",HK Dukla Trenčín,0.0,0.0,2.0,25.0,0.0
"ELYNUIK, Hudson Alexander Royle",HK 32 Liptovský Mikuláš,0.0,0.0,2.0,25.0,0.0
"AVTSIN, Alexander",HC Prešov,0.0,0.0,12.0,24.0,0.0
"BARCÍK, Samuel",HK Spišská Nová Ves,0.0,0.0,13.0,24.0,0.0
"BINDULIS, Kristofers",HK Dukla Michalovce,0.0,0.0,12.0,24.0,0.0
"KUBKA, Branislav",HK Dukla Michalovce,0.0,0.0,8.0,24.0,0.0
"MANDOLESE, Kevin",HKM Zvolen,0.0,0.0,3.0,24.0,0.0
"PASSOLT, Josh",HK Nitra,0.0,0.0,12.0,24.0,0.0
"ŠRAMATY, Marek",HKM Zvolen,0.0,0.0,12.0,24.0,0.0
"BEŇO, Michal",HKM Zvolen,0.0,0.0,12.0,22.0,0.0
"MARTEL, Danick",HK Spišská Nová Ves,0.0,0.0,11.0,22.0,0.0
"MCISAAC, Jared William",HK Spišská Nová Ves,0.0,0.0,11.0,22.0,0.0
"ROMAŇÁK, Dávid",HK Spišská Nová Ves,0.0,0.0,11.0,22.0,0.0
"SPROUL, Ryan",HK Poprad,0.0,0.0,11.0,22.0,0.0
"TAKÁČ, Samuel",Slovan Bratislava,0.0,0.0,11.0,22.0,0.0
"ZIGO, Tomáš",HC MONACObet B.Bystrica,0.0,0.0,11.0,22.0,0.0
"BUČKO, Martin",HC Košice,0.0,0.0,10.0,20.0,0.0
"DAKHNOVSKYI, Oleksii",HC Košice,0.0,0.0,10.0,20.0,0.0
"FARREN, Michael",HK 32 Liptovský Mikuláš,0.0,0.0,10.0,20.0,0.0
"JOKEĽ, Oliver",HC Prešov,0.0,0.0,10.0,20.0,0.0
"KOSTENKO, Dmitrii",HK Nitra,0.0,0.0,10.0,20.0,0.0
"KOYŠ, Patrik",Vlci Žilina,0.0,0.0,10.0,20.0,0.0
"LUNTER, Mário",HC Košice,0.0,0.0,10.0,20.0,0.0
"MATOUŠEK, Tomáš",HC MONACObet B.Bystrica,0.0,0.0,10.0,20.0,0.0
"ROGOŇ, Patrik",HC Košice,0.0,0.0,10.0,20.0,0.0
"SVITANA, Patrik",HK Dukla Michalovce,0.0,0.0,6.0,20.0,0.0
"VANKÚŠ, Marek",HK 32 Liptovský Mikuláš,0.0,0.0,10.0,20.0,0.0
"CALOF, Andrew",HK Poprad,0.0,0.0,9.0,18.0,0.0
"DEJ, Rastislav",Vlci Žilina,0.0,0.0,9.0,18.0,0.0
"DRGOŇ, Adam",HK Dukla Trenčín,0.0,0.0,9.0,18.0,0.0
"HLAVÁČ, Matúš",HK Dukla Trenčín,0.0,0.0,9.0,18.0,0.0
"HOLENDA, Matúš",Vlci Žilina,0.0,0.0,9.0,18.0,0.0
"KORENČIK, Marek",Vlci Žilina,0.0,0.0,9.0,18.0,0.0
"LUCAS, Andrew Eric",HC MONACObet B.Bystrica,0.0,0.0,10.0,18.0,0.0
"MEZEI, Branislav",HK Nitra,0.0,0.0,9.0,18.0,0.0
"O'CONNOR, Ryan Joseph",Slovan Bratislava,0.0,0.0,9.0,18.0,0.0
"PETRÁŠ, Šimon",HC Košice,0.0,0.0,9.0,18.0,0.0
"STANČEK, Michal",HK Poprad,0.0,0.0,9.0,18.0,0.0
"ŠIŠKA, Juraj",HK Dukla Trenčín,0.0,0.0,9.0,18.0,0.0
"BALÁŽ, Jozef",Vlci Žilina,0.0,0.0,8.0,16.0,0.0
"BERGER, Carter Bruce Robert",HKM Zvolen,0.0,0.0,8.0,16.0,0.0
"CARMICHAEL, Elias",HK Nitra,0.0,0.0,8.0,16.0,0.0
"DIAKOV, Kirill",Vlci Žilina,0.0,0.0,8.0,16.0,0.0
"DURANDEAU, Arnaud",HKM Zvolen,0.0,0.0,8.0,16.0,0.0
"GIROUX, Damien",HK Spišská Nová Ves,0.0,0.0,8.0,16.0,0.0
"KARAFFA, Roman",HK Spišská Nová Ves,0.0,0.0,4.0,16.0,0.0
"KOWALCZYK, Daniel",HKM Zvolen,0.0,0.0,8.0,16.0,0.0
"LESKINEN, Ville Elmeri",HK Dukla Trenčín,0.0,0.0,8.0,16.0,0.0
"MACDOUGALL, Ross Patrick",HC Prešov,0.0,0.0,8.0,16.0,0.0
"MACEJKO, Miroslav",HK Dukla Michalovce,0.0,0.0,8.0,16.0,0.0
"TURNBULL, Carter Christopher",HC MONACObet B.Bystrica,0.0,0.0,8.0,16.0,0.0
"ŠANDOR, Peter",HK 32 Liptovský Mikuláš,0.0,0.0,8.0,16.0,0.0
"ŽIAK, Adam",HK Spišská Nová Ves,0.0,0.0,8.0,16.0,0.0
"BARTÁNUS, Marek",HK Dukla Michalovce,0.0,0.0,7.0,14.0,0.0
"BORTŇÁK, Dalibor",HK Spišská Nová Ves,0.0,0.0,7.0,14.0,0.0
"CHALUPA, Samuel",HC Prešov,0.0,0.0,7.0,14.0,0.0
"DMOWSKI, Ryan",Slovan Bratislava,0.0,0.0,7.0,14.0,0.0
"DŽUGAN, Róbert",HK Spišská Nová Ves,0.0,0.0,8.0,14.0,0.0
"HAIN, Gavin Ross",HK Spišská Nová Ves,0.0,0.0,8.0,14.0,0.0
"HAIN, Samuel",HC Prešov,0.0,0.0,7.0,14.0,0.0
"HUDEC, Denis",HK Dukla Trenčín,0.0,0.0,7.0,14.0,0.0
"JACKSON III, Robert Lockwood",HK Nitra,0.0,0.0,7.0,14.0,0.0
"JASENEC, Michal",HC MONACObet B.Bystrica,0.0,0.0,7.0,14.0,0.0
"KRAJČOVIČ, Andrej",HK Dukla Trenčín,0.0,0.0,7.0,14.0,0.0
"KUKUMBERG, Roman",Slovan Bratislava,0.0,0.0,3.0,14.0,0.0
"LUNTER, Lukáš",HKM Zvolen,0.0,0.0,7.0,14.0,0.0
"MACEK, Matej",HKM Zvolen,0.0,0.0,7.0,14.0,0.0
"NÁTNY, Dávid",HC Prešov,0.0,0.0,7.0,14.0,0.0
"ONDRUŠEK, Richard",HC MONACObet B.Bystrica,0.0,0.0,7.0,14.0,0.0
"VARGA, Adam Brandon",HK Dukla Michalovce,0.0,0.0,7.0,14.0,0.0
"ZELEŇÁK, Vojtech",Slovan Bratislava,0.0,0.0,7.0,14.0,0.0
"BLAŠKO, Ján",HC Prešov,0.0,0.0,6.0,12.0,0.0
"BUBELA, Miloš",HK Dukla Trenčín,0.0,0.0,6.0,12.0,0.0
"DRÁBEK, Michael",HK Spišská Nová Ves,0.0,0.0,6.0,12.0,0.0
"GIĽÁK, Matej",HK Spišská Nová Ves,0.0,0.0,6.0,12.0,0.0
"GROCH, Šimon",HK Spišská Nová Ves,0.0,0.0,6.0,12.0,0.0
"JENDEK, Dominik",Slovan Bratislava,0.0,0.0,6.0,12.0,0.0
"KOZÁK, Lukáš",HC Prešov,0.0,0.0,7.0,12.0,0.0
"LEFEBVRE, Martin",HK Poprad,0.0,0.0,7.0,12.0,0.0
"MUCHA, Miroslav",Vlci Žilina,0.0,0.0,6.0,12.0,0.0
"SEMAŇÁK, Martin",HC Prešov,0.0,0.0,6.0,12.0,0.0
"SERTTI, Lauri Aleksi",HK Dukla Michalovce,0.0,0.0,6.0,12.0,0.0
"SUJA, Jakub",HC Prešov,0.0,0.0,6.0,12.0,0.0
"TROOCK, Branden Curtis",HKM Zvolen,0.0,0.0,6.0,12.0,0.0
"ŠOTEK, Alex",HK Poprad,0.0,0.0,6.0,12.0,0.0
"ARCHAMBAULT, Olivier",HK Spišská Nová Ves,0.0,0.0,5.0,10.0,0.0
"BAKOŠ, Martin",Slovan Bratislava,0.0,0.0,5.0,10.0,0.0
"BLAŠKO, Ján",HC Košice,0.0,0.0,5.0,10.0,0.0
"BUČEK, Samuel",HK Nitra,0.0,0.0,5.0,10.0,0.0
"CHRENKO, Tomáš",HK Nitra,0.0,0.0,5.0,10.0,0.0
"GRON, Stanislav",HC MONACObet B.Bystrica,0.0,0.0,5.0,10.0,0.0
"HUDEC, Marek",HC Prešov,0.0,0.0,5.0,10.0,0.0
"JASEČKO, Sebastian",HC Prešov,0.0,0.0,5.0,10.0,0.0
"KRAJČ, Samuel",HK Dukla Trenčín,0.0,0.0,5.0,10.0,0.0
"LAWRENCE, Joshua",HK Nitra,0.0,0.0,5.0,10.0,0.0
"RAPUZZI, William Charles",HC Prešov,0.0,0.0,5.0,10.0,0.0
"STAROSTA, Tomáš",HK Dukla Trenčín,0.0,0.0,5.0,10.0,0.0
"TOMKA, Lukáš",HC MONACObet B.Bystrica,0.0,0.0,5.0,10.0,0.0
"VIEDENSKÝ, Marek",HK Spišská Nová Ves,0.0,0.0,5.0,10.0,0.0
"ČEDERLE, Sebastián",HK Nitra,0.0,0.0,5.0,10.0,0.0
"BEZÚCH, Juraj",HK Dukla Trenčín,0.0,0.0,4.0,8.0,0.0
"EPERJEŠI, Leo",HC Prešov,0.0,0.0,4.0,8.0,0.0
"FERKODIČ, Max",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"GALAMBOŠ, Peter",Vlci Žilina,0.0,0.0,4.0,8.0,0.0
"GIĽÁK, Matej",HC Prešov,0.0,0.0,4.0,8.0,0.0
"GRAHAM, Jesse",HK Nitra,0.0,0.0,4.0,8.0,0.0
"INDRASIS, Miks",HC Prešov,0.0,0.0,4.0,8.0,0.0
"JÄÄSKELÄINEN, Joona Anttoni",HKM Zvolen,0.0,0.0,4.0,8.0,0.0
"KADYROV, Danila",HC Prešov,0.0,0.0,4.0,8.0,0.0
"KASPICK, Tanner John",HK Spišská Nová Ves,0.0,0.0,4.0,8.0,0.0
"KASPICK, Tanner John",HKM Zvolen,0.0,0.0,4.0,8.0,0.0
"KOBOLKA, Adam",HKM Zvolen,0.0,0.0,6.0,8.0,0.0
"KOTVAN, Oldrich",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"KOZÁK, Lukáš",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"KRIŠTOF, Michal",HK Nitra,0.0,0.0,4.0,8.0,0.0
"LAPŠANSKÝ, Adam",HK Dukla Trenčín,0.0,0.0,4.0,8.0,0.0
"LUPTÁK, Matej Ján",Slovan Bratislava,0.0,0.0,4.0,8.0,0.0
"MALINA, Ľubomír",HK Poprad,0.0,0.0,4.0,8.0,0.0
"MESSNER, Mick Garett",HC MONACObet B.Bystrica,0.0,0.0,4.0,8.0,0.0
"NEMEC, Adam",HK Nitra,0.0,0.0,4.0,8.0,0.0
"PALOČKO, Matej",HK Spišská Nová Ves,0.0,0.0,4.0,8.0,0.0
"PLOKHOTNIK, Oleksandr",HC Košice,0.0,0.0,4.0,8.0,0.0
"REWAY, Martin",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"TAYLOR, Zachary George",HC Prešov,0.0,0.0,4.0,8.0,0.0
"TYCHONICK, Jonathan Kerry Brian",HK Spišská Nová Ves,0.0,0.0,4.0,8.0,0.0
"ULLMAN, Erik Mikael",HC Prešov,0.0,0.0,5.0,8.0,0.0
"VANDAS, Michael",HK Poprad,0.0,0.0,4.0,8.0,0.0
"ČAJKOVIČ, Alex",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"ŠIMUN, Eduard",Slovan Bratislava,0.0,0.0,4.0,8.0,0.0
"BARTOVIČ, Adrien",Vlci Žilina,0.0,0.0,3.0,6.0,0.0
"BERLEV, Anton",HC Prešov,0.0,0.0,3.0,6.0,0.0
"DEYL, Radek",HC Košice,0.0,0.0,3.0,6.0,0.0
"DUBRAVÍK, Jakub",Vlci Žilina,0.0,0.0,3.0,6.0,0.0
"FABUŠ, Andrej",Slovan Bratislava,0.0,0.0,3.0,6.0,0.0
"FEJES, Samuel Hunter",HC Prešov,0.0,0.0,3.0,6.0,0.0
"HAIN, Samuel",HK Dukla Trenčín,0.0,0.0,3.0,6.0,0.0
"JOSLING, Sean",HK Dukla Trenčín,0.0,0.0,3.0,6.0,0.0
