title,date,home_team,away_team,score,home_score,away_score,period_scores,meta_line,match_id,url,error
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-14,"HC ‘05 BANSKÁ BYSTRICA, a.s.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",5 : 4 sn,5,4,3:2 | 0:1 | 1:1 | 0:0,"18. kolo, Číslo zápasu",153121,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153121/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-14,Presov Hockey a.s.,Hokejový klub Dukla Ingema Michalovce,4 : 3,4,3,0:2 | 0:1 | 4:0,"18. kolo, Číslo zápasu",153122,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153122/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-14,HKM a.s,HC Košice s.r.o.,4 : 3 sn,4,3,0:0 | 1:2 | 2:1 | 0:0,"18. kolo, Číslo zápasu",153123,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153123/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-14,"HK Nitra, s.r.o.","HK Rysy, s.r.o.",4 : 2,4,2,0:1 | 2:1 | 2:0,"18. kolo, Číslo zápasu",153124,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153124/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-16,"HK Nitra, s.r.o.",Hokejový klub Poprad a.s.,0 : 1,0,1,0:1 | 0:0 | 0:0,"19. kolo, Číslo zápasu",153125,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153125/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-16,"HK Rysy, s.r.o.",HKM a.s,2 : 1,2,1,2:0 | 0:0 | 0:1,"19. kolo, Číslo zápasu",153126,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153126/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-16,HC Košice s.r.o.,Presov Hockey a.s.,6 : 1,6,1,2:0 | 2:0 | 2:1,"19. kolo, Číslo zápasu",153127,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153127/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-16,Hokejový klub Dukla Ingema Michalovce,"HC ‘05 BANSKÁ BYSTRICA, a.s.",5 : 3,5,3,2:1 | 3:1 | 0:1,"19. kolo, Číslo zápasu",153128,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153128/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-16,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","VLCI ŽILINA, a.s.",3 : 1,3,1,2:1 | 1:0 | 0:0,"19. kolo, Číslo zápasu",153129,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153129/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-16,"HC SLOVAN Bratislava, a.s.","Hokejový klub DUKLA Trenčín, a.s.",1 : 4,1,4,0:1 | 0:1 | 1:2,"19. kolo, Číslo zápasu",153130,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153130/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-18,Hokejový klub Poprad a.s.,"HC SLOVAN Bratislava, a.s.",4 : 0,4,0,0:0 | 2:0 | 2:0,"20. kolo, Číslo zápasu",153131,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153131/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-18,"Hokejový klub DUKLA Trenčín, a.s.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 1,3,1,1:0 | 2:0 | 0:1,"20. kolo, Číslo zápasu",153132,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153132/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-18,"VLCI ŽILINA, a.s.",Hokejový klub Dukla Ingema Michalovce,5 : 4 sn,5,4,1:1 | 1:1 | 2:2 | 0:0,"20. kolo, Číslo zápasu",153133,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153133/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-18,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HC Košice s.r.o.,1 : 2,1,2,0:1 | 0:1 | 1:0,"20. kolo, Číslo zápasu",153134,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153134/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-19,Presov Hockey a.s.,"HK Rysy, s.r.o.",4 : 2,4,2,0:0 | 2:1 | 2:1,"20. kolo, Číslo zápasu",153135,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153135/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-18,HKM a.s,"HK Nitra, s.r.o.",2 : 8,2,8,0:4 | 0:2 | 2:2,"20. kolo, Číslo zápasu",153136,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153136/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-21,HKM a.s,Hokejový klub Poprad a.s.,2 : 3 pp,2,3,0:1 | 1:0 | 1:1 | 0:1,"21. kolo, Číslo zápasu",153137,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153137/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-21,"HK Nitra, s.r.o.",Presov Hockey a.s.,4 : 2,4,2,2:0 | 1:2 | 1:0,"21. kolo, Číslo zápasu",153138,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153138/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2026-01-25,"HK Rysy, s.r.o.","HC ‘05 BANSKÁ BYSTRICA, a.s.",5 : 2,5,2,1:0 | 2:1 | 2:1,"21. kolo, Číslo zápasu",153139,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153139/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-21,HC Košice s.r.o.,"VLCI ŽILINA, a.s.",4 : 2,4,2,1:1 | 2:0 | 1:1,"21. kolo, Číslo zápasu",153140,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153140/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-21,Hokejový klub Dukla Ingema Michalovce,"Hokejový klub DUKLA Trenčín, a.s.",4 : 2,4,2,0:0 | 3:2 | 1:0,"21. kolo, Číslo zápasu",153141,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153141/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-21,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HC SLOVAN Bratislava, a.s.",4 : 3 sn,4,3,0:0 | 1:3 | 2:0 | 0:0,"21. kolo, Číslo zápasu",153142,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153142/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-23,Hokejový klub Poprad a.s.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 4 pp,3,4,2:1 | 0:0 | 1:2 | 0:1,"22. kolo, Číslo zápasu",153143,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153143/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-23,"HC SLOVAN Bratislava, a.s.",Hokejový klub Dukla Ingema Michalovce,3 : 0,3,0,1:0 | 1:0 | 1:0,"22. kolo, Číslo zápasu",153144,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153144/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-23,"Hokejový klub DUKLA Trenčín, a.s.",HC Košice s.r.o.,2 : 1,2,1,0:0 | 1:1 | 1:0,"22. kolo, Číslo zápasu",153145,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153145/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-23,"VLCI ŽILINA, a.s.","HK Rysy, s.r.o.",1 : 2,1,2,1:1 | 0:1 | 0:0,"22. kolo, Číslo zápasu",153146,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153146/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-26,"HC ‘05 BANSKÁ BYSTRICA, a.s.","HK Nitra, s.r.o.",1 : 8,1,8,0:1 | 0:4 | 1:3,"22. kolo, Číslo zápasu",153147,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153147/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-23,Presov Hockey a.s.,HKM a.s,2 : 3,2,3,1:0 | 1:0 | 0:3,"22. kolo, Číslo zápasu",153148,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153148/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-28,Presov Hockey a.s.,Hokejový klub Poprad a.s.,0 : 4,0,4,0:3 | 0:0 | 0:1,"23. kolo, Číslo zápasu",153151,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153151/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-28,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HKM a.s,0 : 4,0,4,0:0 | 0:2 | 0:2,"23. kolo, Číslo zápasu",153156,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153156/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-28,"VLCI ŽILINA, a.s.","HK Nitra, s.r.o.",2 : 3 sn,2,3,1:0 | 1:2 | 0:0 | 0:0,"23. kolo, Číslo zápasu",153157,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153157/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-28,"Hokejový klub DUKLA Trenčín, a.s.","HK Rysy, s.r.o.",3 : 1,3,1,1:0 | 1:1 | 1:0,"23. kolo, Číslo zápasu",153158,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153158/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-28,"HC SLOVAN Bratislava, a.s.",HC Košice s.r.o.,1 : 4,1,4,0:2 | 0:1 | 1:1,"23. kolo, Číslo zápasu",153159,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153159/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-28,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Dukla Ingema Michalovce,6 : 3,6,3,2:2 | 1:1 | 3:0,"23. kolo, Číslo zápasu",153160,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153160/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-11-30,Hokejový klub Poprad a.s.,Hokejový klub Dukla Ingema Michalovce,4 : 5 pp,4,5,1:1 | 2:0 | 1:3 | 0:1,"24. kolo, Číslo zápasu",153161,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153161/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-30,HC Košice s.r.o.,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",4 : 0,4,0,1:0 | 0:0 | 3:0,"24. kolo, Číslo zápasu",153162,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153162/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-30,"HK Rysy, s.r.o.","HC SLOVAN Bratislava, a.s.",2 : 5,2,5,0:0 | 1:2 | 1:3,"24. kolo, Číslo zápasu",153163,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153163/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-30,"HK Nitra, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2 : 5,2,5,1:1 | 0:0 | 1:4,"24. kolo, Číslo zápasu",153164,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153164/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-30,HKM a.s,"VLCI ŽILINA, a.s.",0 : 3,0,3,0:1 | 0:1 | 0:1,"24. kolo, Číslo zápasu",153165,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153165/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-11-30,"HC ‘05 BANSKÁ BYSTRICA, a.s.",Presov Hockey a.s.,6 : 0,6,0,1:0 | 2:0 | 3:0,"24. kolo, Číslo zápasu",153166,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153166/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-05,Hokejový klub Poprad a.s.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",2 : 1 sn,2,1,0:0 | 0:0 | 1:1 | 0:0,"25. kolo, Číslo zápasu",153167,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153167/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-05,"VLCI ŽILINA, a.s.",Presov Hockey a.s.,2 : 3 pp,2,3,0:1 | 2:1 | 0:0 | 0:1,"25. kolo, Číslo zápasu",153168,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153168/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-05,"Hokejový klub DUKLA Trenčín, a.s.",HKM a.s,5 : 3,5,3,2:1 | 0:2 | 3:0,"25. kolo, Číslo zápasu",153169,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153169/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-05,"HK Nitra, s.r.o.","HC SLOVAN Bratislava, a.s.",2 : 5,2,5,0:2 | 2:1 | 0:2,"25. kolo, Číslo zápasu",153170,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153170/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-05,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Rysy, s.r.o.",2 : 3 sn,2,3,0:0 | 1:1 | 1:1 | 0:0,"25. kolo, Číslo zápasu",153171,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153171/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-12-05,Hokejový klub Dukla Ingema Michalovce,HC Košice s.r.o.,2 : 3 sn,2,3,0:1 | 1:0 | 1:1 | 0:0,"25. kolo, Číslo zápasu",153172,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153172/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-12-07,Hokejový klub Poprad a.s.,HC Košice s.r.o.,8 : 2,8,2,3:0 | 3:2 | 2:0,"26. kolo, Číslo zápasu",153173,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153173/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-07,"HK Rysy, s.r.o.",Hokejový klub Dukla Ingema Michalovce,2 : 3 sn,2,3,1:0 | 0:2 | 1:0 | 0:0,"26. kolo, Číslo zápasu",153174,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153174/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-07,"HK Nitra, s.r.o.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 4,3,4,0:1 | 3:3 | 0:0,"26. kolo, Číslo zápasu",153175,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153175/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-07,HKM a.s,"HC SLOVAN Bratislava, a.s.",0 : 3,0,3,0:0 | 0:1 | 0:2,"26. kolo, Číslo zápasu",153176,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153176/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-07,Presov Hockey a.s.,"Hokejový klub DUKLA Trenčín, a.s.",3 : 2,3,2,2:0 | 0:1 | 1:1,"26. kolo, Číslo zápasu",153177,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153177/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-07,"HC ‘05 BANSKÁ BYSTRICA, a.s.","VLCI ŽILINA, a.s.",5 : 1,5,1,0:0 | 4:1 | 1:0,"26. kolo, Číslo zápasu",153178,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153178/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-14,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HKM a.s,2 : 5,2,5,1:2 | 0:2 | 1:1,"27. kolo, Číslo zápasu",153179,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153179/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-12,"VLCI ŽILINA, a.s.","HK Nitra, s.r.o.",6 : 4,6,4,1:2 | 2:0 | 3:2,"27. kolo, Číslo zápasu",153180,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153180/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-12,"Hokejový klub DUKLA Trenčín, a.s.","HC SLOVAN Bratislava, a.s.",3 : 4 sn,3,4,3:2 | 0:1 | 0:0 | 0:0,"27. kolo, Číslo zápasu",153181,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153181/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-12-12,Hokejový klub Poprad a.s.,Presov Hockey a.s.,3 : 2 pp,3,2,0:2 | 1:0 | 1:0 | 1:0,"27. kolo, Číslo zápasu",153182,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153182/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-12,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Rysy, s.r.o.",3 : 2 pp,3,2,0:1 | 1:0 | 1:1 | 1:0,"27. kolo, Číslo zápasu",153183,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153183/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-12-12,Hokejový klub Dukla Ingema Michalovce,HC Košice s.r.o.,5 : 2,5,2,3:1 | 2:0 | 0:1,"27. kolo, Číslo zápasu",153184,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153184/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-13,HKM a.s,"HC SLOVAN Bratislava, a.s.",1 : 4,1,4,1:1 | 0:1 | 0:2,"28. kolo, Číslo zápasu",153185,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153185/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-13,"HK Nitra, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2 : 4,2,4,0:0 | 2:2 | 0:2,"28. kolo, Číslo zápasu",153186,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153186/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-12-13,"VLCI ŽILINA, a.s.","HC ‘05 BANSKÁ BYSTRICA, a.s.",5 : 4 sn,5,4,0:4 | 3:0 | 1:0 | 0:0,"28. kolo, Číslo zápasu",153187,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153187/PlayByPlay,
