title,date,home_team,away_team,score,home_score,away_score,period_scores,meta_line,match_id,url,error
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-10,"Hokejový klub DUKLA Trenčín, a.s.",Hokejový klub Dukla Ingema Michalovce,2 : 3 pp,2,3,1:0 | 1:1 | 0:1 | 0:1,"10. kolo, Číslo zápasu",153075,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153075/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-10,"HC SLOVAN Bratislava, a.s.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",6 : 5 sn,6,5,1:2 | 0:1 | 4:2 | 0:0,"10. kolo, Číslo zápasu",153076,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153076/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-12,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",Hokejový klub Poprad a.s.,3 : 2 pp,3,2,1:1 | 0:1 | 1:0 | 1:0,"11. kolo, Číslo zápasu",153077,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153077/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-12,Hokejový klub Dukla Ingema Michalovce,"HC SLOVAN Bratislava, a.s.",2 : 3,2,3,1:0 | 0:1 | 1:2,"11. kolo, Číslo zápasu",153078,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153078/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-12,HC Košice s.r.o.,"Hokejový klub DUKLA Trenčín, a.s.",2 : 1,2,1,1:0 | 1:0 | 0:1,"11. kolo, Číslo zápasu",153079,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153079/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-12,"HK Rysy, s.r.o.","VLCI ŽILINA, a.s.",1 : 5,1,5,0:2 | 1:1 | 0:2,"11. kolo, Číslo zápasu",153080,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153080/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-12,"HK Nitra, s.r.o.","HC ‘05 BANSKÁ BYSTRICA, a.s.",4 : 1,4,1,2:1 | 0:0 | 2:0,"11. kolo, Číslo zápasu",153081,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153081/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-10-12,HKM a.s,Presov Hockey a.s.,5 : 0,5,0,1:0 | 3:0 | 1:0,"11. kolo, Číslo zápasu",153082,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153082/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub  Poprad a.s. vs. Presov Hockey a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-10-17,Hokejový klub Poprad a.s.,Presov Hockey a.s.,7 : 2,7,2,3:2 | 2:0 | 2:0,"12. kolo, Číslo zápasu",153083,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153083/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-17,HKM a.s,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1 : 6,1,6,0:3 | 1:1 | 0:2,"12. kolo, Číslo zápasu",153084,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153084/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-17,"HK Nitra, s.r.o.","VLCI ŽILINA, a.s.",1 : 3,1,3,0:2 | 1:1 | 0:0,"12. kolo, Číslo zápasu",153085,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153085/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-17,"HK Rysy, s.r.o.","Hokejový klub DUKLA Trenčín, a.s.",2 : 1,2,1,0:0 | 1:0 | 1:1,"12. kolo, Číslo zápasu",153086,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153086/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-17,HC Košice s.r.o.,"HC SLOVAN Bratislava, a.s.",1 : 2 sn,1,2,0:0 | 1:1 | 0:0 | 0:0,"12. kolo, Číslo zápasu",153087,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153087/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-17,Hokejový klub Dukla Ingema Michalovce,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 2,3,2,0:0 | 0:1 | 3:1,"12. kolo, Číslo zápasu",153088,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153088/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-10-19,Hokejový klub Dukla Ingema Michalovce,Hokejový klub Poprad a.s.,2 : 3 pp,2,3,1:2 | 1:0 | 0:0 | 0:1,"13. kolo, Číslo zápasu",153089,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153089/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. HC Košice  s.r.o.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-19,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",HC Košice s.r.o.,0 : 5,0,5,0:3 | 0:1 | 0:1,"13. kolo, Číslo zápasu",153090,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153090/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-19,"HC SLOVAN Bratislava, a.s.","HK Rysy, s.r.o.",6 : 4,6,4,3:1 | 1:2 | 2:1,"13. kolo, Číslo zápasu",153091,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153091/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub DUKLA Trenčín, a.s. vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-19,"Hokejový klub DUKLA Trenčín, a.s.","HK Nitra, s.r.o.",1 : 4,1,4,0:3 | 0:0 | 1:1,"13. kolo, Číslo zápasu",153092,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153092/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | VLCI ŽILINA, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-19,"VLCI ŽILINA, a.s.",HKM a.s,6 : 5 pp,6,5,1:2 | 4:0 | 0:3 | 1:0,"13. kolo, Číslo zápasu",153093,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153093/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. HC ‘05 BANSKÁ BYSTRICA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-19,Presov Hockey a.s.,"HC ‘05 BANSKÁ BYSTRICA, a.s.",4 : 1,4,1,1:1 | 1:0 | 2:0,"13. kolo, Číslo zápasu",153094,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153094/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC ‘05 BANSKÁ BYSTRICA, a.s. vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-24,"HC ‘05 BANSKÁ BYSTRICA, a.s.",Hokejový klub Poprad a.s.,3 : 0,3,0,2:0 | 1:0 | 0:0,"14. kolo, Číslo zápasu",153095,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153095/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Presov Hockey a.s. vs. VLCI ŽILINA, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-24,Presov Hockey a.s.,"VLCI ŽILINA, a.s.",4 : 7,4,7,0:0 | 2:5 | 2:2,"14. kolo, Číslo zápasu",153096,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153096/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HKM a.s  vs. Hokejový klub DUKLA Trenčín, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-21,HKM a.s,"Hokejový klub DUKLA Trenčín, a.s.",3 : 2 sn,3,2,0:1 | 1:0 | 1:1 | 0:0,"14. kolo, Číslo zápasu",153097,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153097/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Nitra, s.r.o. vs. HC SLOVAN Bratislava, a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-24,"HK Nitra, s.r.o.","HC SLOVAN Bratislava, a.s.",5 : 4 sn,5,4,0:1 | 2:0 | 2:3 | 0:0,"14. kolo, Číslo zápasu",153098,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153098/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HK Rysy, s.r.o. vs. Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-24,"HK Rysy, s.r.o.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",2 : 5,2,5,1:1 | 1:3 | 0:1,"14. kolo, Číslo zápasu",153099,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153099/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. Hokejový klub Dukla Ingema Michalovce | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-10-21,HC Košice s.r.o.,Hokejový klub Dukla Ingema Michalovce,6 : 2,6,2,3:0 | 1:1 | 2:1,"14. kolo, Číslo zápasu",153100,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153100/PlayByPlay,
Súťaže a štatistiky | Tipsport liga | HC Košice  s.r.o.  vs. Hokejový klub  Poprad a.s. | HockeySlovakia.sk - oficiálny web slovenského hokeja,2025-10-26,HC Košice s.r.o.,Hokejový klub Poprad a.s.,6 : 3,6,3,2:2 | 1:0 | 3:1,"14. kolo, Číslo zápasu",153101,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153101/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Hokejový klub Dukla Ingema Michalovce vs. HK Rysy, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-26,Hokejový klub Dukla Ingema Michalovce,"HK Rysy, s.r.o.",4 : 3,4,3,2:2 | 1:1 | 1:0,"15. kolo, Číslo zápasu",153102,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153102/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.  vs. HK Nitra, s.r.o. | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-26,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Nitra, s.r.o.",2 : 5,2,5,0:1 | 1:4 | 1:0,"15. kolo, Číslo zápasu",153103,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153103/PlayByPlay,
"Súťaže a štatistiky | Tipsport liga | HC SLOVAN Bratislava, a.s. vs. HKM a.s  | HockeySlovakia.sk - oficiálny web slovenského hokeja",2025-10-26,"HC SLOVAN Bratislava, a.s.",HKM a.s,4 : 3 pp,4,3,0:0 | 2:2 | 1:1 | 1:0,"15. kolo, Číslo zápasu",153104,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153104/PlayByPlay,
