match_id,date,round,venue,attendance,home_team,away_team,score,home_goals,away_goals,periods,goal_count,penalty_count,goalie_change_count,unclassified_event_count,url,error
153171,,,,,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.","HK Rysy, s.r.o.",2 : 3 sn,2,3,0:0 | 1:1 | 1:1 | 0:0,5,4,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153171/Overview,
153172,,,,,Hokejový klub Dukla Ingema Michalovce,HC Košice s.r.o.,2 : 3 sn,2,3,0:1 | 1:0 | 1:1 | 0:0,5,15,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153172/Overview,
153173,,,,,Hokejový klub Poprad a.s.,HC Košice s.r.o.,8 : 2,8,2,3:0 | 3:2 | 2:0,11,13,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153173/Overview,
153174,,,,,"HK Rysy, s.r.o.",Hokejový klub Dukla Ingema Michalovce,2 : 3 sn,2,3,1:0 | 0:2 | 1:0 | 0:0,5,7,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153174/Overview,
153175,,,,,"HK Nitra, s.r.o.","Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",3 : 4,3,4,0:1 | 3:3 | 0:0,7,9,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153175/Overview,
153176,,,,,HKM a.s,"HC SLOVAN Bratislava, a.s.",0 : 3,0,3,0:0 | 0:1 | 0:2,3,7,8,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153176/Overview,
153177,,,,,Presov Hockey a.s.,"Hokejový klub DUKLA Trenčín, a.s.",3 : 2,3,2,2:0 | 0:1 | 1:1,5,8,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153177/Overview,
153178,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.","VLCI ŽILINA, a.s.",5 : 1,5,1,0:0 | 4:1 | 1:0,7,15,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153178/Overview,
153179,,,,,"HC ‘05 BANSKÁ BYSTRICA, a.s.",HKM a.s,2 : 5,2,5,1:2 | 0:2 | 1:1,7,17,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153179/Overview,
153180,,,,,"VLCI ŽILINA, a.s.","HK Nitra, s.r.o.",6 : 4,6,4,1:2 | 2:0 | 3:2,10,4,6,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153180/Overview,
153181,,,,,"Hokejový klub DUKLA Trenčín, a.s.","HC SLOVAN Bratislava, a.s.",3 : 4 sn,3,4,3:2 | 0:1 | 0:0 | 0:0,7,15,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153181/Overview,
153182,,,,,Hokejový klub Poprad a.s.,Presov Hockey a.s.,3 : 2 pp,3,2,0:2 | 1:0 | 1:0 | 1:0,5,10,4,0,https://www.hockeyslovakia.sk/sk/stats/matches/1131/tipsport-liga/match/153182/Overview,
