season,round,round_index,team,elo
2025-26,R 10,10,ERC Ingolstadt,1514.91
2025-26,R 10,10,Eisbären Berlin,1475.71
2025-26,R 10,10,Grizzlys Wolfsburg,1533.87
2025-26,R 10,10,Iserlohn Roosters,1457.92
2025-26,R 10,10,Kölner Haie,1516.05
2025-26,R 10,10,Löwen Frankfurt,1454.66
2025-26,R 10,10,Nürnberg Ice Tigers,1509.83
2025-26,R 10,10,Pinguins Bremerhaven,1521.29
2025-26,R 10,10,Schwenninger Wild Wings,1508.06
2025-26,R 10,10,Straubing Tigers,1545.23
2025-26,R 11,11,Adler Mannheim,1558.16
2025-26,R 11,11,Augsburger Panther,1470.94
2025-26,R 11,11,Dresdner Eislöwen,1442.91
2025-26,R 11,11,EHC Red Bull München,1485.04
2025-26,R 11,11,ERC Ingolstadt,1525.78
2025-26,R 11,11,Eisbären Berlin,1485.87
2025-26,R 11,11,Grizzlys Wolfsburg,1543.45
2025-26,R 11,11,Iserlohn Roosters,1457.92
2025-26,R 11,11,Kölner Haie,1516.05
2025-26,R 11,11,Löwen Frankfurt,1454.66
2025-26,R 11,11,Nürnberg Ice Tigers,1495.53
2025-26,R 11,11,Pinguins Bremerhaven,1521.29
2025-26,R 11,11,Schwenninger Wild Wings,1508.06
2025-26,R 11,11,Straubing Tigers,1534.36
2025-26,R 12,12,Adler Mannheim,1558.16
2025-26,R 12,12,Augsburger Panther,1470.94
2025-26,R 12,12,Dresdner Eislöwen,1442.91
2025-26,R 12,12,EHC Red Bull München,1485.04
2025-26,R 12,12,ERC Ingolstadt,1525.78
2025-26,R 12,12,Eisbären Berlin,1485.87
2025-26,R 12,12,Grizzlys Wolfsburg,1543.45
2025-26,R 12,12,Iserlohn Roosters,1457.92
2025-26,R 12,12,Kölner Haie,1504.3
2025-26,R 12,12,Löwen Frankfurt,1466.41
2025-26,R 12,12,Nürnberg Ice Tigers,1495.53
2025-26,R 12,12,Pinguins Bremerhaven,1521.29
2025-26,R 12,12,Schwenninger Wild Wings,1508.06
2025-26,R 12,12,Straubing Tigers,1534.36
2025-26,R 13,13,Adler Mannheim,1567.69
2025-26,R 13,13,Augsburger Panther,1483.52
2025-26,R 13,13,Dresdner Eislöwen,1430.32
2025-26,R 13,13,EHC Red Bull München,1474.88
2025-26,R 13,13,ERC Ingolstadt,1525.78
2025-26,R 13,13,Eisbären Berlin,1485.87
2025-26,R 13,13,Grizzlys Wolfsburg,1531.88
2025-26,R 13,13,Iserlohn Roosters,1448.38
2025-26,R 13,13,Kölner Haie,1504.3
2025-26,R 13,13,Löwen Frankfurt,1466.41
2025-26,R 13,13,Nürnberg Ice Tigers,1483.42
2025-26,R 13,13,Pinguins Bremerhaven,1532.86
2025-26,R 13,13,Schwenninger Wild Wings,1518.21
2025-26,R 13,13,Straubing Tigers,1546.47
2025-26,R 14,14,Adler Mannheim,1567.69
2025-26,R 14,14,Augsburger Panther,1483.52
2025-26,R 14,14,Dresdner Eislöwen,1430.32
2025-26,R 14,14,EHC Red Bull München,1485.13
2025-26,R 14,14,ERC Ingolstadt,1525.78
2025-26,R 14,14,Eisbären Berlin,1485.87
2025-26,R 14,14,Grizzlys Wolfsburg,1531.88
2025-26,R 14,14,Iserlohn Roosters,1448.38
2025-26,R 14,14,Kölner Haie,1504.3
2025-26,R 14,14,Löwen Frankfurt,1466.41
2025-26,R 14,14,Nürnberg Ice Tigers,1473.18
2025-26,R 14,14,Pinguins Bremerhaven,1532.86
2025-26,R 14,14,Schwenninger Wild Wings,1518.21
2025-26,R 14,14,Straubing Tigers,1546.47
2025-26,R 15,15,Adler Mannheim,1579.98
2025-26,R 15,15,Augsburger Panther,1494.9
2025-26,R 15,15,Dresdner Eislöwen,1420.84
2025-26,R 15,15,EHC Red Bull München,1485.13
2025-26,R 15,15,ERC Ingolstadt,1525.78
2025-26,R 15,15,Eisbären Berlin,1495.31
2025-26,R 15,15,Grizzlys Wolfsburg,1520.49
2025-26,R 15,15,Iserlohn Roosters,1457.86
2025-26,R 15,15,Kölner Haie,1504.3
2025-26,R 15,15,Löwen Frankfurt,1456.97
2025-26,R 15,15,Nürnberg Ice Tigers,1473.18
2025-26,R 15,15,Pinguins Bremerhaven,1520.58
2025-26,R 15,15,Schwenninger Wild Wings,1509.03
2025-26,R 15,15,Straubing Tigers,1555.65
2025-26,R 16,16,Adler Mannheim,1587.31
2025-26,R 16,16,Augsburger Panther,1506.26
2025-26,R 16,16,Dresdner Eislöwen,1413.64
