player,team,goals,assists,points,penalties,pim
Killian Mottet,HC Ajoie,10,10,20,5,10
Miles Müller,HC Ambri-Piotta,8,12,20,4,31
Kyen Sopa,HC Ajoie,7,13,20,7,16
André Heim,HC Ambri-Piotta,5,15,20,7,14
Romain Loeffel,SC Bern,5,15,20,4,8
Brandon Gignac,EHC Kloten,4,16,20,6,14
Manix Landry,HC Ambri-Piotta,8,11,19,6,12
Jiri Sekac,HC Lugano,7,12,19,10,72
Calle Andersson,HC Davos,2,17,19,4,8
Petr Cajka,EHC Biel-Bienne,10,8,18,7,14
Mike Sgarbossa,HC Lugano,9,9,18,6,16
Simon Knak,HC Davos,8,10,18,8,39
Klas Dahlbeck,HC Davos,7,11,18,13,51
Dominik Kahun,Lausanne HC,7,11,18,3,6
Keanu Derungs,EHC Kloten,7,11,18,3,6
Mischa Ramel,EHC Kloten,7,11,18,3,6
Jeremy Wick,HC Ajoie,6,12,18,5,33
Mirco Müller,HC Lugano,3,15,18,3,8
Jonathan Hazen,HC Ajoie,10,7,17,5,10
Kevin Nicolet,Fribourg-Gottéron,8,9,17,4,18
Yonas Berthoud,HC Ajoie,4,13,17,11,24
Johnny Kneubuehler,EHC Biel-Bienne,13,3,16,9,45
Nathan Marchon,Fribourg-Gottéron,10,6,16,6,12
Nicolas Baechler,ZSC Lions,7,9,16,7,14
Daniel Vozenilek,EV Zug,5,11,16,11,55
Maximilian Streule,Fribourg-Gottéron,5,11,16,13,32
Flavio Schmutz,SCL Tigers,5,11,16,4,8
Tim Berni,Genève-Servette HC,2,14,16,6,35
Sandro Zangger,SCRJ Lakers,11,4,15,7,18
Benjamin Baumgartner,SC Bern,10,5,15,3,8
Jérôme Bachofner,SCL Tigers,9,6,15,3,6
Marco Lehmann,SC Bern,7,8,15,3,6
Phil Baltisberger,SCL Tigers,6,9,15,5,12
Marco Miranda,Genève-Servette HC,5,10,15,10,22
Niklas Blessing,EHC Biel-Bienne,3,12,15,9,24
Dominic Lammer,SCRJ Lakers,11,3,14,11,26
Simas Ignatavicius,Genève-Servette HC,8,6,14,10,43
Chris Baltisberger,ZSC Lions,8,6,14,8,18
Marc-Antoine Pouliot,Genève-Servette HC,6,8,14,12,30
Yannick Weber,ZSC Lions,6,8,14,12,24
