player,team,goals,assists,points,penalties,pim
Marc Diethelm,SC Rapperswil-Jona Lakers,0,0,0,0,0
Marc Diethelm,SCRJ Lakers,0,0,0,0,0
Martin Grangier,Fribourg-Gottéron,0,0,0,0,0
Martin Neckar,SCL Tigers,0,0,0,0,0
Mathieu Croce,EHC Kloten,0,0,0,0,0
Matia Nico Birchler,EV Zug,0,0,0,0,0
Melvin Nyffeler,SC Rapperswil-Jona Lakers,0,0,0,0,0
Melvin Nyffeler,SCRJ Lakers,0,0,0,0,0
Michael Loosli,Genève-Servette HC,0,0,0,0,0
Michal Cajkovsky,HC Ambri-Piotta,0,0,0,0,0
Mike Aeschlimann,SCL Tigers,0,0,0,0,0
Nassim Jaafri-Hayani,HC Ambri-Piotta,0,0,0,0,0
Nic Wülser,Fribourg-Gottéron,0,0,0,0,0
Nick Meile,HC Lugano,0,0,0,0,0
Nicolas Lars Wenger,Lausanne HC,0,0,0,0,0
Nicolò Ugazzi,SCRJ Lakers,0,0,0,0,0
Niklas Schlegel,HC Lugano,0,0,0,0,0
Noah Fuss,SC Bern,0,0,0,0,0
Noah Patenaude,HC Ajoie,0,0,0,0,0
Noel Ulrich,ZSC Lions,0,0,0,0,0
Philip Wüthrich,HC Ambri-Piotta,0,0,0,0,0
Robin Bisig,SCRJ Lakers,0,0,0,0,0
Robin Meyer,SCL Tigers,0,0,0,0,0
Robin Zumbühl,ZSC Lions,0,0,0,0,0
Roope Taponen,HC Davos,0,0,0,0,0
Sandro Aeschlimann,HC Davos,0,0,0,0,0
Sandro Zurkirchen,SC Bern,0,0,0,0,0
Santo Simmchen,EV Zug,0,0,0,0,0
Simon Bär,SCL Tigers,0,0,0,0,0
Simon Hrubec,ZSC Lions,0,0,0,0,0
Simon Meier,EHC Kloten,0,0,0,0,0
Sol Fueter,EV Zug,0,0,0,0,0
Stefan Rüegsegger,Lausanne HC,0,0,0,0,0
Tanner Richard,Genève-Servette HC,0,0,0,0,0
Thibault Fatton,Lausanne HC,0,0,0,0,0
Thibault Martin,Lausanne HC,0,0,0,0,0
Théo Vouardoux,Genève-Servette HC,0,0,0,0,0
Tim Muggli,HC Ambri-Piotta,0,0,0,0,0
Tim Wolf,EV Zug,0,0,0,0,0
Villiam Haag,ZSC Lions,0,0,0,0,0
Vincent Ryser,SC Bern,0,0,0,0,0
William Hedlund,HC Ambri-Piotta,0,0,0,0,0
