season,round,round_index,team,elo
2025-26,R 10,10,HC Dynamo Pardubice,1505.47
2025-26,R 10,10,HC Energie Karlovy Vary,1532.16
2025-26,R 10,10,HC Kometa Brno,1552.76
2025-26,R 10,10,HC Oceláři Třinec,1535.42
2025-26,R 10,10,HC Olomouc,1495.77
2025-26,R 10,10,HC Sparta Praha,1514.69
2025-26,R 10,10,HC VERVA Litvínov,1470.43
2025-26,R 10,10,HC VÍTKOVICE RIDERA,1510.53
2025-26,R 10,10,HC Škoda Plzeň,1489.12
2025-26,R 10,10,Mountfield HK,1453.23
2025-26,R 10,10,Rytíři Kladno,1444.32
2025-26,R 10,10,Č. Budějovice,1518.1
2025-26,R 11,11,BK Mladá Boleslav,1469.91
2025-26,R 11,11,Bílí Tygři Liberec,1503.0
2025-26,R 11,11,HC Dynamo Pardubice,1505.47
2025-26,R 11,11,HC Energie Karlovy Vary,1521.0
2025-26,R 11,11,HC Kometa Brno,1528.98
2025-26,R 11,11,HC Oceláři Třinec,1535.42
2025-26,R 11,11,HC Olomouc,1486.2
2025-26,R 11,11,HC Sparta Praha,1530.93
2025-26,R 11,11,HC VERVA Litvínov,1458.99
2025-26,R 11,11,HC VÍTKOVICE RIDERA,1520.11
2025-26,R 11,11,HC Škoda Plzeň,1498.51
2025-26,R 11,11,Mountfield HK,1464.67
2025-26,R 11,11,Rytíři Kladno,1434.93
2025-26,R 11,11,Č. Budějovice,1541.88
2025-26,R 12,12,BK Mladá Boleslav,1459.52
2025-26,R 12,12,Bílí Tygři Liberec,1514.72
2025-26,R 12,12,HC Dynamo Pardubice,1516.15
2025-26,R 12,12,HC Energie Karlovy Vary,1510.36
2025-26,R 12,12,HC Kometa Brno,1518.3
2025-26,R 12,12,HC Oceláři Třinec,1542.6
2025-26,R 12,12,HC Olomouc,1496.59
2025-26,R 12,12,HC Sparta Praha,1519.21
2025-26,R 12,12,HC VERVA Litvínov,1448.76
2025-26,R 12,12,HC VÍTKOVICE RIDERA,1501.92
2025-26,R 12,12,HC Škoda Plzeň,1509.16
2025-26,R 12,12,Mountfield HK,1482.86
2025-26,R 12,12,Rytíři Kladno,1427.74
2025-26,R 12,12,Č. Budějovice,1552.11
2025-26,R 13,13,BK Mladá Boleslav,1475.17
2025-26,R 13,13,Bílí Tygři Liberec,1499.06
2025-26,R 13,13,HC Dynamo Pardubice,1524.23
2025-26,R 13,13,HC Energie Karlovy Vary,1518.47
2025-26,R 13,13,HC Kometa Brno,1509.0
2025-26,R 13,13,HC Oceláři Třinec,1551.9
2025-26,R 13,13,HC Olomouc,1506.2
2025-26,R 13,13,HC Sparta Praha,1507.95
2025-26,R 13,13,HC VERVA Litvínov,1440.68
2025-26,R 13,13,HC VÍTKOVICE RIDERA,1493.36
2025-26,R 13,13,HC Škoda Plzeň,1520.41
2025-26,R 13,13,Mountfield HK,1473.25
2025-26,R 13,13,Rytíři Kladno,1419.63
2025-26,R 13,13,Č. Budějovice,1560.68
2025-26,R 14,14,BK Mladá Boleslav,1467.59
2025-26,R 14,14,Bílí Tygři Liberec,1509.27
2025-26,R 14,14,HC Dynamo Pardubice,1537.83
2025-26,R 14,14,HC Energie Karlovy Vary,1504.88
2025-26,R 14,14,HC Kometa Brno,1496.48
2025-26,R 14,14,HC Oceláři Třinec,1540.24
2025-26,R 14,14,HC Olomouc,1495.99
2025-26,R 14,14,HC Sparta Praha,1496.06
2025-26,R 14,14,HC VERVA Litvínov,1432.93
2025-26,R 14,14,HC VÍTKOVICE RIDERA,1505.03
2025-26,R 14,14,HC Škoda Plzeň,1528.15
2025-26,R 14,14,Mountfield HK,1485.14
2025-26,R 14,14,Rytíři Kladno,1432.14
2025-26,R 14,14,Č. Budějovice,1568.26
2025-26,R 15,15,BK Mladá Boleslav,1467.59
2025-26,R 15,15,Bílí Tygři Liberec,1498.58
2025-26,R 15,15,HC Dynamo Pardubice,1526.89
2025-26,R 15,15,HC Energie Karlovy Vary,1493.67
2025-26,R 15,15,HC Kometa Brno,1507.69
2025-26,R 15,15,HC Oceláři Třinec,1547.57
2025-26,R 15,15,HC Olomouc,1508.81
2025-26,R 15,15,HC Sparta Praha,1484.24
2025-26,R 15,15,HC VERVA Litvínov,1425.59
2025-26,R 15,15,HC VÍTKOVICE RIDERA,1515.97
2025-26,R 15,15,HC Škoda Plzeň,1528.15
2025-26,R 15,15,Mountfield HK,1495.84
2025-26,R 15,15,Rytíři Kladno,1443.96
2025-26,R 15,15,Č. Budějovice,1555.45
2025-26,R 16,16,BK Mladá Boleslav,1458.74
2025-26,R 16,16,Bílí Tygři Liberec,1498.58
