season,round,round_index,team,elo
2025-26,R 8,8,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1515.23
2025-26,R 8,8,Presov Hockey a.s.,1442.77
2025-26,R 8,8,"VLCI ŽILINA, a.s.",1523.89
2025-26,R 9,9,HC Košice s.r.o.,1506.46
2025-26,R 9,9,"HC SLOVAN Bratislava, a.s.",1558.81
2025-26,R 9,9,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1537.12
2025-26,R 9,9,"HK Nitra, s.r.o.",1547.06
2025-26,R 9,9,"HK Rysy, s.r.o.",1503.5
2025-26,R 9,9,HKM a.s,1477.82
2025-26,R 9,9,"Hokejový klub DUKLA Trenčín, a.s.",1504.14
2025-26,R 9,9,Hokejový klub Dukla Ingema Michalovce,1440.93
2025-26,R 9,9,Hokejový klub Poprad a.s.,1432.95
2025-26,R 9,9,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1525.2
2025-26,R 9,9,Presov Hockey a.s.,1434.26
2025-26,R 9,9,"VLCI ŽILINA, a.s.",1531.77
2025-26,R 10,10,HC Košice s.r.o.,1493.75
2025-26,R 10,10,"HC SLOVAN Bratislava, a.s.",1567.84
2025-26,R 10,10,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1549.46
2025-26,R 10,10,"HK Nitra, s.r.o.",1557.57
2025-26,R 10,10,"HK Rysy, s.r.o.",1491.16
2025-26,R 10,10,HKM a.s,1493.12
2025-26,R 10,10,"Hokejový klub DUKLA Trenčín, a.s.",1492.34
2025-26,R 10,10,Hokejový klub Dukla Ingema Michalovce,1452.72
2025-26,R 10,10,Hokejový klub Poprad a.s.,1417.64
2025-26,R 10,10,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1516.16
2025-26,R 10,10,Presov Hockey a.s.,1423.76
2025-26,R 10,10,"VLCI ŽILINA, a.s.",1544.48
2025-26,R 11,11,HC Košice s.r.o.,1503.71
2025-26,R 11,11,"HC SLOVAN Bratislava, a.s.",1574.65
2025-26,R 11,11,"HC ‘05 BANSKÁ BYSTRICA, a.s.",1535.97
2025-26,R 11,11,"HK Nitra, s.r.o.",1571.06
2025-26,R 11,11,"HK Rysy, s.r.o.",1477.84
2025-26,R 11,11,HKM a.s,1507.07
2025-26,R 11,11,"Hokejový klub DUKLA Trenčín, a.s.",1482.38
2025-26,R 11,11,Hokejový klub Dukla Ingema Michalovce,1445.92
2025-26,R 11,11,Hokejový klub Poprad a.s.,1410.4
2025-26,R 11,11,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",1523.4
