source,league,league_label,game_url,match_date,home_team,away_team,home_score,away_score,status,bookmaker,outcome_type,european_odds,fetched_at
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#SSbX4Yem,2026-03-31,Eisbaren Berlin,Straubing Tigers,2,1,final,OddsPortal Avg,draw,4.52,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/eisbaren-berlin-vwLXr6U8/straubing-tigers-4rgakDjm#SSbX4Yem,2026-03-31,Eisbaren Berlin,Straubing Tigers,2,1,final,OddsPortal Avg,away,3.71,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#Ob40jZtf,2026-03-31,ERC Ingolstadt,Munchen,7,2,final,OddsPortal Avg,home,2.69,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#Ob40jZtf,2026-03-31,ERC Ingolstadt,Munchen,7,2,final,OddsPortal Avg,draw,4.30,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#Ob40jZtf,2026-03-31,ERC Ingolstadt,Munchen,7,2,final,OddsPortal Avg,away,2.44,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#6uexHhrf,2026-03-31,Kolner,Schwenninger,2,1,final_ot,OddsPortal Avg,home,1.43,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#6uexHhrf,2026-03-31,Kolner,Schwenninger,2,1,final_ot,OddsPortal Avg,draw,5.84,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/kolner-haie-va2irFDJ/schwenninger-x8GmLQb2#6uexHhrf,2026-03-31,Kolner,Schwenninger,2,1,final_ot,OddsPortal Avg,away,6.89,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#GY0hheCs,2026-03-29,Munchen,ERC Ingolstadt,5,2,final,OddsPortal Avg,home,1.85,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#GY0hheCs,2026-03-29,Munchen,ERC Ingolstadt,5,2,final,OddsPortal Avg,draw,4.64,2026-04-07T13:57:39.943163+00:00
oddsportal,germany,DEL,https://www.oddsportal.com/hockey/h2h/erc-ingolstadt-OzEsAZ6s/munchen-dOHrLrqd#GY0hheCs,2026-03-29,Munchen,ERC Ingolstadt,5,2,final,OddsPortal Avg,away,3.69,2026-04-07T13:57:39.943163+00:00
