game_id,date,home_team,away_team,score,away_abbr,away_faceoffs,away_hits,away_pim,away_score,away_shots,home_abbr,home_faceoffs,home_hits,home_pim,home_score,home_shots,is_overtime,is_shootout,period_scores
2921876,2025-10-24,HC Škoda Plzeň,Mountfield HK,2:3,MHK,28,3,8,3,20,PLZ,28,5,8,2,34,0,0,"1:3, 0:0, 1:0"
2921878,2025-10-24,HC VERVA Litvínov,Bílí Tygři Liberec,4:3,LIB,38,4,14,3,26,LIT,31,5,31,4,30,0,0,"1:3, 1:0, 1:0 - 1:0"
2921875,2025-10-24,HC Kometa Brno,HC VÍTKOVICE RIDERA,4:1,VIT,21,6,10,1,28,KOM,27,4,6,4,31,0,0,"2:0, 0:0, 2:1"
2921877,2025-10-24,Rytíři Kladno,HC Olomouc,3:2,OLO,33,1,10,2,20,KLA,28,3,12,3,29,0,0,"1:0, 2:2, 0:0"
2921881,2025-10-24,HC Energie Karlovy Vary,HC Sparta Praha,4:3,SPA,27,6,10,3,29,KVA,39,6,10,4,34,0,0,"1:1, 0:1, 2:1 - 0:0 - 1:0"
2921882,2025-10-26,HC Škoda Plzeň,HC Oceláři Třinec,1:2,TRI,19,3,42,2,20,PLZ,26,4,4,1,26,0,0,"0:1, 0:0, 1:0 - 0:0 - 0:1"
2921883,2025-10-26,BK Mladá Boleslav,HC VÍTKOVICE RIDERA,1:2,VIT,21,4,8,2,21,MBL,27,2,6,1,31,0,0,"0:1, 0:0, 1:1"
2921886,2025-10-26,Mountfield HK,HC Energie Karlovy Vary,4:5,KVA,36,4,8,5,26,MHK,26,0,4,4,30,0,0,"0:3, 2:2, 2:0"
2921888,2025-10-26,Bílí Tygři Liberec,HC Kometa Brno,4:3,KOM,27,3,4,3,23,LIB,34,4,4,4,37,0,0,"0:1, 1:1, 3:1"
2921884,2025-10-26,HC Olomouc,HC Dynamo Pardubice,2:1,PCE,32,1,18,1,44,OLO,33,9,14,2,17,0,0,"1:0, 0:0, 0:1 - 1:0"
2921885,2025-10-26,Č. Budějovice,Rytíři Kladno,4:3,KLA,22,6,10,3,21,CEB,42,2,8,4,39,0,0,"0:1, 0:2, 3:0 - 1:0"
2921887,2025-10-26,HC Sparta Praha,HC VERVA Litvínov,2:1,LIT,41,3,10,1,33,SPA,31,5,12,2,26,0,0,"2:0, 0:0, 0:1"
2921891,2025-10-28,HC VERVA Litvínov,HC Olomouc,1:0,OLO,29,3,10,0,26,LIT,25,7,2,1,32,0,0,"0:0, 1:0, 0:0"
2921892,2025-10-28,HC Energie Karlovy Vary,BK Mladá Boleslav,4:5,MBL,27,3,12,5,25,KVA,33,7,31,4,36,0,0,"1:3, 2:0, 1:1 - 0:1"
2921895,2025-10-28,Rytíři Kladno,Bílí Tygři Liberec,4:3,LIB,40,5,10,3,43,KLA,33,3,8,4,21,0,0,"2:2, 1:0, 0:1 - 0:0 - 1:0"
