season,round,round_index,team,elo
2025-26,R 9,9,HC Lugano,1468.51
2025-26,R 9,9,Lausanne HC,1542.65
2025-26,R 9,9,SC Bern,1474.69
2025-26,R 9,9,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 9,9,SCL Tigers,1488.74
2025-26,R 9,9,SCRJ Lakers,1514.88
2025-26,R 9,9,ZSC Lions,1527.4
2025-26,R 10,10,EHC Biel-Bienne,1459.96
2025-26,R 10,10,EHC Kloten,1486.24
2025-26,R 10,10,EV Zug,1500.54
2025-26,R 10,10,Fribourg-Gottéron,1518.0
2025-26,R 10,10,Genève-Servette HC,1522.19
2025-26,R 10,10,HC Ajoie,1451.93
2025-26,R 10,10,HC Ambri-Piotta,1449.71
2025-26,R 10,10,HC Davos,1571.97
2025-26,R 10,10,HC Lugano,1454.93
2025-26,R 10,10,Lausanne HC,1554.09
2025-26,R 10,10,SC Bern,1488.27
2025-26,R 10,10,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 10,10,SCL Tigers,1477.29
2025-26,R 10,10,SCRJ Lakers,1526.81
2025-26,R 10,10,ZSC Lions,1521.98
2025-26,R 11,11,EHC Biel-Bienne,1465.46
2025-26,R 11,11,EHC Kloten,1496.3
2025-26,R 11,11,EV Zug,1513.98
2025-26,R 11,11,Fribourg-Gottéron,1528.93
2025-26,R 11,11,Genève-Servette HC,1512.33
2025-26,R 11,11,HC Ajoie,1441.0
2025-26,R 11,11,HC Ambri-Piotta,1436.26
2025-26,R 11,11,HC Davos,1583.59
2025-26,R 11,11,HC Lugano,1447.71
2025-26,R 11,11,Lausanne HC,1561.32
2025-26,R 11,11,SC Bern,1478.21
2025-26,R 11,11,SC Rapperswil-Jona Lakers,1516.09
2025-26,R 11,11,SCL Tigers,1471.79
2025-26,R 11,11,SCRJ Lakers,1536.67
2025-26,R 11,11,ZSC Lions,1510.36
2025-26,R 12,12,EHC Biel-Bienne,1469.76
2025-26,R 12,12,EHC Kloten,1490.6
2025-26,R 12,12,EV Zug,1518.88
2025-26,R 12,12,Fribourg-Gottéron,1536.73
2025-26,R 12,12,Genève-Servette HC,1509.35
2025-26,R 12,12,HC Ajoie,1436.7
2025-26,R 12,12,HC Ambri-Piotta,1428.47
2025-26,R 12,12,HC Davos,1586.56
2025-26,R 12,12,HC Lugano,1463.77
2025-26,R 12,12,Lausanne HC,1561.32
2025-26,R 12,12,SC Bern,1478.21
2025-26,R 12,12,SC Rapperswil-Jona Lakers,1500.04
2025-26,R 12,12,SCL Tigers,1477.49
2025-26,R 12,12,SCRJ Lakers,1536.67
2025-26,R 12,12,ZSC Lions,1505.46
2025-26,R 13,13,EHC Biel-Bienne,1469.76
2025-26,R 13,13,EHC Kloten,1490.6
2025-26,R 13,13,EV Zug,1518.88
2025-26,R 13,13,Fribourg-Gottéron,1536.73
2025-26,R 13,13,Genève-Servette HC,1509.35
