league,team,state_diff,n_score,n_total,n_concede,p_score,p_concede,next_if_score,next_if_concede
switzerland,SCRJ Lakers,5,1,2,1,0.5,0.5,6,4
switzerland,ZSC Lions,-3,2,3,1,0.6667,0.3333,-2,-4
switzerland,ZSC Lions,-2,13,18,5,0.7222,0.2778,-1,-3
switzerland,ZSC Lions,-1,28,49,21,0.5714,0.4286,0,-2
switzerland,ZSC Lions,0,57,104,47,0.5481,0.4519,1,-1
switzerland,ZSC Lions,1,35,60,25,0.5833,0.4167,2,0
switzerland,ZSC Lions,2,17,28,11,0.6071,0.3929,3,1
switzerland,ZSC Lions,3,8,13,5,0.6154,0.3846,4,2
switzerland,ZSC Lions,4,1,3,2,0.3333,0.6667,5,3
switzerland,ZSC Lions,5,1,1,0,1.0,0.0,6,4
switzerland,ZSC Lions,6,1,1,0,1.0,0.0,7,5
switzerland,nan,-3,1,1,0,1.0,0.0,-2,-4
switzerland,nan,-2,0,2,2,0.0,1.0,-1,-3
switzerland,nan,-1,0,1,1,0.0,1.0,0,-2
switzerland,nan,0,5,7,2,0.7143,0.2857,1,-1
switzerland,nan,1,1,5,4,0.2,0.8,2,0
