league,team,logo_path,status,notes
sweden,Brynäs IF,assets/club_symbols/sweden/bryn-s-if.png,missing,
sweden,Djurgårdens IF,assets/club_symbols/sweden/djurg-rdens-if.png,missing,
sweden,Frölunda HC,assets/club_symbols/sweden/fr-lunda-hc.jpg,missing,
sweden,Färjestad BK,assets/club_symbols/sweden/f-rjestad-bk.png,missing,
sweden,IF Malmö Redhawks,assets/club_symbols/sweden/if-malm-redhawks.jpg,missing,
sweden,Luleå HF,assets/club_symbols/sweden/lule-hf.jpg,missing,
sweden,Rögle BK,assets/club_symbols/sweden/r-gle-bk.jpg,missing,
sweden,Skellefteå AIK,assets/club_symbols/sweden/skellefte-aik.jpg,missing,
sweden,Växjö Lakers HC,assets/club_symbols/sweden/v-xj-lakers-hc.jpg,missing,
sweden,Örebro HK,assets/club_symbols/sweden/rebro-hk.jpg,missing,
switzerland,EHC Biel-Bienne,assets/club_symbols/switzerland/ehc-biel-bienne.jpg,missing,
switzerland,EHC Kloten,assets/club_symbols/switzerland/ehc-kloten.png,missing,
switzerland,EV Zug,assets/club_symbols/switzerland/ev-zug.png,missing,
switzerland,Fribourg-Gottéron,assets/club_symbols/switzerland/fribourg-gott-ron.png,missing,
switzerland,Genève-Servette HC,assets/club_symbols/switzerland/gen-ve-servette-hc.svg,missing,
switzerland,HC Ajoie,assets/club_symbols/switzerland/hc-ajoie.jpg,missing,
switzerland,HC Ambri-Piotta,assets/club_symbols/switzerland/hc-ambri-piotta.svg,missing,
switzerland,HC Davos,assets/club_symbols/switzerland/hc-davos.svg,missing,
switzerland,HC Lugano,assets/club_symbols/switzerland/hc-lugano.png,missing,
switzerland,Lausanne HC,assets/club_symbols/switzerland/lausanne-hc.svg,missing,
switzerland,SC Bern,assets/club_symbols/switzerland/sc-bern.jpg,missing,
switzerland,SC Rapperswil-Jona Lakers,assets/club_symbols/switzerland/sc-rapperswil-jona-lakers.svg,missing,
switzerland,SCL Tigers,assets/club_symbols/switzerland/scl-tigers.svg,missing,
switzerland,SCRJ Lakers,assets/club_symbols/switzerland/scrj-lakers.svg,missing,
switzerland,ZSC Lions,assets/club_symbols/switzerland/zsc-lions.png,missing,
