game_id,team,jersey,player,toi,shots_faced,goals_against,saves,save_pct,gaa,shutouts,pim
901714,Салават Юлаев,35,1,60:00,38,2,36,94.7,2.00,0,0
901714,Салават Юлаев,70,0,-,0,0,0,-,-,0,0
901714,Автомобилист,18,1,16:22,9,0,9,100.0,0.00,0,0
901714,Автомобилист,1,1,42:53,20,4,16,80.0,5.60,0,0
